miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR100	MIR10B	MTF1	ZNF148
MIR100	MIR125A	MTF1	PRDM1
MIR100	MIR125A	STK26	TAOK1
MIR100	MIR125B1	MTF1	PRDM1
MIR100	MIR125B1	USP9X	USP15
MIR100	MIR125B2	MTF1	PRDM1
MIR10A	MIR125A	IRF2BP2	MYT1L
MIR10A	MIR99B	IGF1R	EPHA7
MIR125A	MIR99A	PPP1CB	PPP2CA
MIR125A	MIR99B	PPP1CB	PPP2CA
MIR105-1	MIR105-2	ACVR2A	BMPR1B
MIR105-1	MIR105-2	PDE10A	PDE4D
MIR105-1	MIR105-2	SSH1	DUSP13
MIR105-1	MIR105-2	LRRC8B	SHOC2
MIR105-1	MIR105-2	IGF1R	EPHA4
MIR105-1	MIR105-2	IGF1R	EPHA5
MIR105-1	MIR105-2	IGF1R	ERBB4
MIR105-1	MIR105-2	HOXA3	HOXA1
MIR105-1	MIR105-2	HOXA3	HOXA13
MIR105-1	MIR105-2	EPHA4	ERBB4
MIR105-1	MIR105-2	KRAS	RAP2C
MIR105-1	MIR105-2	KRAS	RERG
MIR105-1	MIR105-2	ERBB4	EPHA5
MIR105-1	MIR105-2	OSBPL8	OSBPL2
MIR105-1	MIR105-2	DUSP13	SSH2
MIR105-1	MIR105-2	USP15	USP37
MIR105-1	MIR105-2	PTPRG	PTPN13
MIR105-1	MIR105-2	ZNF490	ZNF621
MIR105-1	MIR105-2	CDK6	CDK12
MIR105-1	MIR105-2	TM9SF2	TM9SF3
MIR105-1	MIR105-2	CDH2	PCDH9
MIR105-1	MIR105-2	RAB3C	RAB2A
MIR105-1	MIR105-2	RAB3C	RAB22A
MIR105-1	MIR105-2	RAB3C	RAB6A
MIR105-1	MIR105-2	CHRFAM7A	GABRB3
MIR105-1	MIR105-2	CHRFAM7A	CHRNA7
MIR105-1	MIR105-2	RAB2A	RAB22A
MIR105-1	MIR105-2	RAB2A	RAB3B
MIR105-1	MIR105-2	RAB2A	RAB6A
MIR105-1	MIR105-2	RAB22A	RAB3B
MIR105-1	MIR105-2	RAB22A	RAB6A
MIR105-1	MIR105-2	RBMS1	ELAVL3
MIR105-1	MIR105-2	SLC25A36	SLC25A37
MIR105-1	MIR105-2	RERG	RAP2C
MIR105-1	MIR105-2	KBTBD11	KLHL7
MIR105-1	MIR105-2	KBTBD11	KLHL28
MIR105-1	MIR105-2	KLHL28	KLHL7
MIR105-1	MIR105-2	CHRNA7	GABRB3
MIR105-1	MIR105-2	ACSL6	ACSL3
MIR105-1	MIR105-2	HOXA1	HOXA13
MIR105-1	MIR105-2	RAB3B	RAB6A
MIR106A	MIR20A	NEDD4L	HECTD2
MIR106A	MIR20A	DENND5B	PKD2
MIR106A	MIR20A	EZH1	KMT2B
