miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR100	MIR10A	PCBP1	PCBP2
MIR10A	MIR125A	DST	SPTAN1
MIR10A	MIR125A	MACF1	SPTAN1
MIR10B	MIR125A	DST	SPTAN1
MIR105-1	MIR105-2	not_in_G	not_in_G
MIR106A	MIR20A	CCND1	CCNG2
MIR106A	MIR20A	IPO9	IPO7
MIR106A	MIR20A	HERC2	UBE3C
MIR106A	MIR20A	HERC2	HECTD1
MIR106A	MIR20A	MACF1	FLNB
MIR106A	MIR20A	NR2C2	NR2F2
MIR106A	MIR20A	NLK	MAPK1
MIR106A	MIR20A	ANKIB1	RNF19A
MIR106A	MIR20A	IRF1	IRF9
MIR106A	MIR20A	BMPR2	TGFBR2
MIR106A	MIR20A	KLF3	KLF6
MIR106A	MIR20A	HIPK1	DYRK3
MIR106A	MIR20A	CCNG2	CCND2
MIR106A	MIR20A	DST	FLNB
MIR106A	MIR20A	ZFYVE26	RUFY2
MIR106A	MIR20A	MSI2	NCL
MIR106A	MIR20A	PKD1	PKD2
MIR106A	MIR20A	DUSP2	DUSP18
MIR106A	MIR20A	RAB5B	DNAJC27
MIR106A	MIR20A	RAB5B	RAB1A
MIR106A	MIR20A	AQR	ZNFX1
MIR106A	MIR20A	ARL4A	ARL1
MIR106A	MIR20A	ARL4A	ARL9
MIR106A	MIR20A	KMT2B	EZH1
MIR106A	MIR20A	KMT2B	NSD1
MIR106A	MIR20A	NSD1	EZH1
MIR106A	MIR20A	ZNF611	ZNF81
MIR106A	MIR20A	ZNF611	ZNF880
MIR106A	MIR20A	DDX39B	DDX42
MIR106A	MIR20A	TBC1D2B	TBC1D9
MIR106A	MIR20A	ZNF81	ZNF880
MIR106A	MIR20A	KLHL28	KLHL18
MIR106A	MIR20A	KLHL28	GAN
MIR106A	MIR20A	MAP3K8	TAOK3
MIR106A	MIR20A	ARL1	ARL9
MIR106A	MIR20A	LRCH1	SHOC2
MIR106A	MIR20A	DNAJC27	RAB1A
MIR106A	MIR20A	HECTD1	UBE3C
MIR106A	MIR20A	GAN	KLHL18
MIR106A	MIR20A	UBE2Z	UBE2W
MIR106A	MIR20B	CCND1	CCNG2
MIR106A	MIR20B	RASA2	NF1
MIR106A	MIR20B	NLK	MAPK9
MIR106A	MIR20B	USP34	USP3
MIR106A	MIR20B	IRF1	IRF9
MIR106A	MIR20B	CCNG2	CCND2
MIR106A	MIR20B	MAP3K9	LIMK1
MIR106A	MIR20B	ZFYVE26	RUFY2
MIR106A	MIR20B	PKD1	PKD2
MIR106A	MIR20B	DUSP2	DUSP18
MIR106A	MIR20B	RAB5B	DNAJC27
MIR106A	MIR20B	ARL4A	ARL1
MIR106A	MIR20B	KMT2B	EZH1
MIR106A	MIR20B	ZNF81	ZNF880
MIR106A	MIR20B	KLHL28	GAN
MIR106A	MIR20B	MAP3K8	TAOK3
MIR106A	MIR20B	RND3	RHOC
MIR106A	MIR20B	HECTD1	UBE3C
MIR106A	MIR20B	E2F1	E2F7
MIR106A	MIR93	CCND1	CCNG2
MIR106A	MIR93	RASA2	NF1
MIR106A	MIR93	USP34	USP3
MIR106A	MIR93	IRF1	IRF9
MIR106A	MIR93	CCNG2	CCND2
MIR106A	MIR93	MAP3K9	LIMK1
MIR106A	MIR93	ZFYVE26	RUFY2
MIR106A	MIR93	PKD1	PKD2
MIR106A	MIR93	DUSP2	DUSP18
MIR106A	MIR93	RAB5B	DNAJC27
MIR106A	MIR93	RAB5B	RAB9A
MIR106A	MIR93	ARL4A	ARL1
MIR106A	MIR93	ZNF81	ZNF880
MIR106A	MIR93	KLHL28	GAN
MIR106A	MIR93	RND3	RHOC
MIR106A	MIR93	RAB9A	DNAJC27
MIR18A	MIR17	PABPC1	RBM38
MIR18B	MIR17	PABPC1	RBM38
MIR20A	MIR106B	CCND1	CCNG2
MIR20A	MIR106B	PPARD	RORA
MIR20A	MIR106B	SEMA6D	SEMA7A
MIR20A	MIR106B	ZNF717	ZNF81
MIR20A	MIR106B	ZNF717	ZNF880
MIR20A	MIR106B	KLHL7	KLHL2
MIR20A	MIR106B	KLHL7	KLHL28
MIR20A	MIR106B	KLHL7	GAN
MIR20A	MIR106B	NLK	MAPK1
MIR20A	MIR106B	EIF4A2	DDX39B
MIR20A	MIR106B	IRF1	IRF9
MIR20A	MIR106B	SOCS5	SOCS1
MIR20A	MIR106B	KLF12	KLF10
MIR20A	MIR106B	KLF10	KLF3
MIR20A	MIR106B	RAB22A	RAB5B
MIR20A	MIR106B	RAB22A	DNAJC27
MIR20A	MIR106B	RAB22A	RAB8B
MIR20A	MIR106B	AAK1	BMP2K
MIR20A	MIR106B	LNPEP	ERAP1
MIR20A	MIR106B	CCNG2	CCND2
MIR20A	MIR106B	ZFYVE26	RUFY2
MIR20A	MIR106B	MSI2	NCL
MIR20A	MIR106B	MSI2	RBM47
MIR20A	MIR106B	ATP13A3	ATP2B1
MIR20A	MIR106B	PPP6C	PPP3CC
MIR20A	MIR106B	TRIP12	UBE3C
MIR20A	MIR106B	PKD1	PKD2
MIR20A	MIR106B	DUSP2	DUSP18
MIR20A	MIR106B	RAB5B	DNAJC27
MIR20A	MIR106B	RAB5B	RAB8B
MIR20A	MIR106B	ARL4A	ARL1
MIR20A	MIR106B	KLHL2	KLHL28
MIR20A	MIR106B	KLHL2	GAN
MIR20A	MIR106B	NSD1	EZH1
MIR20A	MIR106B	RBM12	HNRNPF
MIR20A	MIR106B	CBX5	CBX7
MIR20A	MIR106B	RAB8B	DNAJC27
MIR20A	MIR106B	HSPA8	HYOU1
MIR20A	MIR106B	ZNF81	ZNF880
MIR20A	MIR106B	BTG2	BTG3
MIR20A	MIR106B	RBM47	NCL
MIR20A	MIR106B	KLHL28	GAN
MIR20A	MIR106B	MAP3K8	TAOK3
MIR20A	MIR106B	FMN2	FMNL3
MIR20A	MIR106B	GSPT2	GSPT1
MIR20A	MIR106B	BTG1	BTG3
MIR20A	MIR17	HERC2	UBE3C
MIR20A	MIR17	HERC2	HUWE1
MIR20A	MIR17	HERC2	HECTD1
MIR20A	MIR17	NLK	MAPK1
MIR20A	MIR17	ANKIB1	RNF19A
MIR20A	MIR17	PLEC	SYNE2
MIR20A	MIR17	PLEC	MACF1
MIR20A	MIR17	PLEC	FLNC
MIR20A	MIR17	PLEC	FLNB
MIR20A	MIR17	PLEC	DST
MIR20A	MIR17	PLEC	UTRN
MIR20A	MIR17	IRF1	IRF9
MIR20A	MIR17	RAB22A	RAB5B
MIR20A	MIR17	RAB22A	DNAJC27
MIR20A	MIR17	RAB22A	RAB1A
MIR20A	MIR17	CCNG2	CCND1
MIR20A	MIR17	CCNG2	CCNI
MIR20A	MIR17	CCNG2	CCND2
MIR20A	MIR17	TUBB4B	TUBB6
MIR20A	MIR17	KMT2B	EZH1
MIR20A	MIR17	KMT2B	NSD1
MIR20A	MIR17	HNRNPL	PTBP1
MIR20A	MIR17	NSD1	EZH1
MIR20A	MIR17	TNFRSF1B	TNFRSF10B
MIR20A	MIR17	DIAPH1	INF2
MIR20A	MIR17	EIF4G2	EIF4G3
MIR20A	MIR17	MTOR	TRRAP
MIR20A	MIR17	MTOR	PRKDC
MIR20A	MIR17	ZNF81	ZNF880
MIR20A	MIR17	KLHL28	KLHL18
MIR20A	MIR17	KLHL28	KLHL7
MIR20A	MIR17	KLHL28	GAN
MIR20A	MIR17	RUFY2	ZFYVE26
MIR20A	MIR17	ARL1	ARL4A
MIR20A	MIR17	ARL1	ARF1
MIR20A	MIR17	ARL1	ARL9
MIR20A	MIR17	DNAJC27	RAB5B
MIR20A	MIR17	DNAJC27	RAB1A
MIR20A	MIR17	AKTIP	UBE2W
MIR20A	MIR17	AKTIP	UBE2Z
MIR20A	MIR17	HECTD1	UBE3C
MIR20A	MIR17	HECTD1	HUWE1
MIR20A	MIR17	PRKDC	TRRAP
MIR20A	MIR17	PRRC2B	PRRC2C
MIR20A	MIR17	KIF1C	KIF3C
MIR20A	MIR17	MSN	FRMD4A
MIR20A	MIR17	DYRK3	HIPK3
MIR20A	MIR17	DYRK3	HIPK1
MIR20A	MIR17	RAC1	RHOC
MIR20A	MIR17	UBE2W	UBE2Z
MIR20A	MIR17	SEMA6D	SEMA7A
