miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR100	MIR125A	STK26	TAOK1
MIR105-1	MIR105-2	CHRNA7	CHRFAM7A
MIR105-1	MIR105-2	RAB6A	RAB2A
MIR20A	MIR106B	ACVR2B	TGFBR2
MIR20B	MIR17	TGFBR1	TGFBR2
MIR20B	MIR17	DPYSL5	DPYSL2
MIR93	MIR17	DPYSL5	DPYSL2
MIR1185-1	MIR1185-2	EIF4A2	DDX3X
MIR1185-1	MIR1185-2	SLC2A3	SLC2A14
MIR1185-1	MIR1185-2	IL6ST	LIFR
MIR1185-1	MIR543	EIF4A2	DDX3X
MIR1185-2	MIR543	EIF4A2	DDX3X
MIR329-1	MIR329-2	SMAD4	SMAD2
MIR329-1	MIR329-2	USP28	USP15
MIR329-1	MIR329-2	RALA	RAP2B
MIR329-1	MIR412	USP15	USP28
MIR329-2	MIR412	USP15	USP28
MIR487A	MIR487B	SMN2	SMN1
MIR539	MIR889	PCDHA4	PCDHA10
MIR1283-1	MIR1283-2	SRSF6	SRSF1
MIR302A	MIR302C	HNRNPF	HNRNPH1
MIR302A	MIR519E	UBE2V2	UBE2B
MIR302B	MIR302D	ACVR1	TGFBR2
MIR302C	MIR373	ASF1A	ASF1B
MIR302C	MIR519A1	MAP3K2	MAP2K4
MIR302C	MIR519C	MAP3K2	MAP2K4
MIR302C	MIR520C	MAP3K2	MAP2K4
MIR371A	MIR519D	BMPR2	BMPR1B
MIR512-1	MIR512-2	RAB10	RAB7A
MIR512-1	MIR512-2	ERBB4	NTRK2
MIR512-1	MIR512-2	DTNA	DMD
MIR515-1	MIR515-1	ACVR2B	TGFBR2
MIR515-1	MIR515-1	BAZ1B	BAZ2A
MIR515-1	MIR515-1	MYO1E	MYO5A
MIR515-1	MIR515-1	KAT6A	RSF1
MIR515-1	MIR515-2	ACVR2B	TGFBR2
MIR515-1	MIR515-2	BAZ1B	BAZ2A
MIR515-1	MIR515-2	MYO1E	MYO5A
MIR515-1	MIR515-2	KAT6A	RSF1
MIR515-1	MIR519E	ACVR2B	TGFBR2
MIR515-1	MIR519E	BAZ1B	BAZ2A
MIR515-1	MIR519E	KAT6A	RSF1
MIR515-1	MIR520A	TGFBR2	ACVR2B
MIR515-2	MIR515-2	ACVR2B	TGFBR2
MIR515-2	MIR515-2	BAZ1B	BAZ2A
MIR515-2	MIR515-2	MYO1E	MYO5A
MIR515-2	MIR515-2	KAT6A	RSF1
MIR515-2	MIR519E	ACVR2B	TGFBR2
MIR515-2	MIR519E	BAZ1B	BAZ2A
