miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR105-1	MIR105-2	CHRFAM7A	CHRNA7
MIR105-1	MIR105-2	BMPR1B	ACVR2A
MIR20B	MIR17	DPYSL2	DPYSL5
MIR20B	MIR17	TGFBR2	TGFBR1
MIR93	MIR17	DPYSL2	DPYSL5
MIR1185-1	MIR1185-2	LIFR	IL6ST
MIR329-1	MIR329-2	SMAD4	SMAD2
MIR329-1	MIR329-2	UBXN7	FAF2
MIR329-1	MIR329-2	RYBP	YAF2
MIR329-1	MIR411	YAF2	RYBP
MIR329-1	MIR485	YAF2	RYBP
MIR329-1	MIR494	YAF2	RYBP
MIR329-1	MIR758	YAF2	RYBP
MIR329-2	MIR411	YAF2	RYBP
MIR329-2	MIR485	YAF2	RYBP
MIR329-2	MIR494	YAF2	RYBP
MIR329-2	MIR758	YAF2	RYBP
MIR410	MIR494	PRR20B	PRR20A
MIR410	MIR494	PRR20B	PRR20D
MIR410	MIR494	PRR20B	PRR20C
MIR410	MIR494	PRR20B	PRR20E
MIR410	MIR494	PRR20C	PRR20A
MIR410	MIR494	PRR20C	PRR20D
MIR410	MIR494	PRR20C	PRR20E
MIR410	MIR494	PRR20A	PRR20D
MIR410	MIR494	PRR20A	PRR20E
MIR410	MIR494	PRR20D	PRR20E
MIR411	MIR485	AGO4	AGO1
MIR411	MIR485	YAF2	RYBP
MIR411	MIR494	YAF2	RYBP
MIR411	MIR654	AGO4	AGO1
MIR411	MIR758	YAF2	RYBP
MIR485	MIR494	YAF2	RYBP
MIR485	MIR654	AGO4	AGO1
MIR485	MIR758	YAF2	RYBP
MIR487A	MIR487B	SMN2	SMN1
MIR494	MIR758	YAF2	RYBP
MIR1283-1	MIR1283-2	SRSF6	SRSF1
MIR302A	MIR302B	LEFTY2	LEFTY1
MIR302A	MIR302C	HNRNPH1	HNRNPF
MIR302A	MIR302D	LEFTY2	LEFTY1
MIR302A	MIR373	LEFTY2	LEFTY1
MIR302A	MIR519E	UBE2V2	UBE2B
MIR302A	MIR520A	LEFTY2	LEFTY1
MIR302A	MIR520B	LEFTY2	LEFTY1
MIR302A	MIR520C	LEFTY2	LEFTY1
MIR302A	MIR520E	LEFTY2	LEFTY1
MIR302B	MIR302D	LEFTY2	LEFTY1
MIR302B	MIR373	LEFTY2	LEFTY1
MIR302B	MIR520A	LEFTY2	LEFTY1
MIR302B	MIR520B	LEFTY2	LEFTY1
MIR302B	MIR520C	LEFTY2	LEFTY1
MIR302B	MIR520E	LEFTY2	LEFTY1
MIR302D	MIR373	LEFTY2	LEFTY1
MIR302D	MIR520A	LEFTY2	LEFTY1
MIR302D	MIR520B	LEFTY2	LEFTY1
MIR302D	MIR520C	LEFTY2	LEFTY1
MIR302D	MIR520E	LEFTY2	LEFTY1
MIR371A	MIR519D	BMPR2	BMPR1B
MIR373	MIR520A	LEFTY2	LEFTY1
MIR373	MIR520B	LEFTY2	LEFTY1
MIR373	MIR520C	LEFTY2	LEFTY1
MIR373	MIR520E	LEFTY2	LEFTY1
MIR512-1	MIR512-2	DTNA	DMD
MIR516A1	MIR516A2	SMAD2	SMAD6
MIR516A1	MIR516A2	CTLA4	CD28
MIR517A	MIR517B	CUL3	CUL4A
MIR517A	MIR517C	CUL3	CUL4A
MIR517B	MIR517C	CUL3	CUL4A
MIR518A1	MIR518A2	KPNA1	KPNA4
MIR518A1	MIR518A2	ACVR1	ACVR2B
MIR518D	MIR518E	CBX4	CBX8
MIR518D	MIR518F	CBX4	CBX8
MIR518D	MIR519A1	CBX4	CBX8
MIR518D	MIR519B	CBX4	CBX8
MIR518D	MIR519C	CBX4	CBX8
MIR518D	MIR520C	CBX4	CBX8
MIR518D	MIR520G	CBX4	CBX8
MIR518D	MIR522	CBX4	CBX8
MIR518D	MIR523	CBX4	CBX8
MIR518D	MIR526A1	CBX4	CBX8
MIR518D	MIR526A2	CBX4	CBX8
MIR518E	MIR518F	CBX4	CBX8
MIR518E	MIR519A1	CBX4	CBX8
MIR518E	MIR519B	CBX4	CBX8
MIR518E	MIR519C	CBX4	CBX8
MIR518E	MIR520C	CBX4	CBX8
MIR518E	MIR520G	CBX4	CBX8
MIR518E	MIR522	CBX4	CBX8
MIR518E	MIR523	CBX4	CBX8
MIR518E	MIR526A1	CBX4	CBX8
MIR518E	MIR526A2	CBX4	CBX8
MIR518F	MIR519A1	CBX4	CBX8
MIR518F	MIR519B	CBX4	CBX8
MIR518F	MIR519C	CBX4	CBX8
MIR518F	MIR520C	CBX4	CBX8
MIR518F	MIR520G	CBX4	CBX8
MIR518F	MIR522	CBX4	CBX8
MIR518F	MIR523	CBX4	CBX8
