miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR100	MIR10A	PCBP1	PCBP2
MIR105-1	MIR105-2	not_in_G	not_in_G
MIR106A	MIR20A	RAB1A	RAB5B
MIR106A	MIR20A	PKD1	PKD2
MIR106A	MIR20A	IRF1	IRF9
MIR106A	MIR20A	IPO7	IPO9
MIR106A	MIR20B	PKD1	PKD2
MIR106A	MIR20B	IRF1	IRF9
MIR106A	MIR93	PKD1	PKD2
MIR106A	MIR93	IRF1	IRF9
MIR20A	MIR106B	PKD1	PKD2
MIR20A	MIR106B	GSPT2	GSPT1
MIR20A	MIR106B	IRF1	IRF9
MIR20A	MIR106B	EIF4A2	DDX39B
MIR20A	MIR17	PRKDC	MTOR
MIR20A	MIR17	RAB5B	RAB1A
MIR20A	MIR17	TUBB4B	TUBB6
MIR20A	MIR17	IPO7	IPO9
MIR20A	MIR17	KPNA3	KPNA2
MIR20A	MIR17	PNP	MTAP
MIR20A	MIR17	RHOC	RAC1
MIR20A	MIR17	PKD1	PKD2
MIR20A	MIR17	HNRNPL	PTBP1
MIR20A	MIR17	EIF4G3	EIF4G2
MIR20A	MIR17	CHD4	SMARCA4
MIR20A	MIR17	IRF9	IRF1
MIR20B	MIR106B	PKD1	PKD2
MIR20B	MIR106B	IRF1	IRF9
MIR20B	MIR17	PKD1	PKD2
MIR20B	MIR17	GAN	KBTBD8
MIR20B	MIR17	IRF1	IRF9
MIR93	MIR106B	PKD1	PKD2
MIR93	MIR106B	IRF1	IRF9
MIR93	MIR17	PKD1	PKD2
MIR93	MIR17	GAN	KBTBD8
MIR93	MIR17	EIF4G3	EIF4G2
MIR93	MIR17	IRF1	IRF9
MIR93	MIR17	RAC1	RHOC
MIR1185-1	MIR1193	not_in_G	not_in_G
MIR1185-1	MIR1197	not_in_G	not_in_G
MIR1185-1	MIR323B	not_in_G	not_in_G
MIR1185-1	MIR380	not_in_G	not_in_G
MIR1185-1	MIR410	not_in_G	not_in_G
MIR1185-1	MIR496	not_in_G	not_in_G
MIR1185-1	MIR655	not_in_G	not_in_G
MIR1185-1	MIR656	not_in_G	not_in_G
MIR1185-1	MIR889	not_in_G	not_in_G
MIR1185-2	MIR1193	not_in_G	not_in_G
MIR1185-2	MIR1197	not_in_G	not_in_G
MIR1185-2	MIR323B	not_in_G	not_in_G
MIR1185-2	MIR380	not_in_G	not_in_G
MIR1185-2	MIR410	not_in_G	not_in_G
MIR1185-2	MIR496	not_in_G	not_in_G
MIR1185-2	MIR655	not_in_G	not_in_G
MIR1185-2	MIR656	not_in_G	not_in_G
MIR1185-2	MIR889	not_in_G	not_in_G
MIR1193	MIR1197	not_in_G	not_in_G
MIR1193	MIR154	not_in_G	not_in_G
MIR1193	MIR299	not_in_G	not_in_G
MIR1193	MIR323A	not_in_G	not_in_G
MIR1193	MIR323B	not_in_G	not_in_G
MIR1193	MIR329-1	not_in_G	not_in_G
MIR1193	MIR329-2	not_in_G	not_in_G
MIR1193	MIR369	not_in_G	not_in_G
MIR1193	MIR377	not_in_G	not_in_G
MIR1193	MIR379	not_in_G	not_in_G
MIR1193	MIR380	not_in_G	not_in_G
MIR1193	MIR381	not_in_G	not_in_G
MIR1193	MIR382	not_in_G	not_in_G
MIR1193	MIR409	not_in_G	not_in_G
MIR1193	MIR410	not_in_G	not_in_G
MIR1193	MIR411	not_in_G	not_in_G
MIR1193	MIR412	not_in_G	not_in_G
MIR1193	MIR485	not_in_G	not_in_G
MIR1193	MIR487A	not_in_G	not_in_G
MIR1193	MIR487B	not_in_G	not_in_G
MIR1193	MIR494	not_in_G	not_in_G
MIR1193	MIR495	not_in_G	not_in_G
MIR1193	MIR496	not_in_G	not_in_G
MIR1193	MIR539	not_in_G	not_in_G
MIR1193	MIR543	not_in_G	not_in_G
MIR1193	MIR654	not_in_G	not_in_G
MIR1193	MIR655	not_in_G	not_in_G
MIR1193	MIR656	not_in_G	not_in_G
MIR1193	MIR758	not_in_G	not_in_G
MIR1193	MIR889	not_in_G	not_in_G
MIR1197	MIR154	not_in_G	not_in_G
MIR1197	MIR299	not_in_G	not_in_G
MIR1197	MIR323A	not_in_G	not_in_G
MIR1197	MIR323B	not_in_G	not_in_G
MIR1197	MIR329-1	not_in_G	not_in_G
MIR1197	MIR329-2	not_in_G	not_in_G
MIR1197	MIR369	not_in_G	not_in_G
MIR1197	MIR377	not_in_G	not_in_G
MIR1197	MIR379	not_in_G	not_in_G
MIR1197	MIR380	not_in_G	not_in_G
MIR1197	MIR381	not_in_G	not_in_G
MIR1197	MIR382	not_in_G	not_in_G
MIR1197	MIR409	not_in_G	not_in_G
MIR1197	MIR410	not_in_G	not_in_G
MIR1197	MIR411	not_in_G	not_in_G
MIR1197	MIR412	not_in_G	not_in_G
MIR1197	MIR485	not_in_G	not_in_G
MIR1197	MIR487A	not_in_G	not_in_G
MIR1197	MIR487B	not_in_G	not_in_G
MIR1197	MIR494	not_in_G	not_in_G
MIR1197	MIR495	not_in_G	not_in_G
MIR1197	MIR496	not_in_G	not_in_G
MIR1197	MIR539	not_in_G	not_in_G
MIR1197	MIR543	not_in_G	not_in_G
MIR1197	MIR654	not_in_G	not_in_G
MIR1197	MIR655	not_in_G	not_in_G
MIR1197	MIR656	not_in_G	not_in_G
MIR1197	MIR758	not_in_G	not_in_G
MIR1197	MIR889	not_in_G	not_in_G
