miRNA_1	miRNA_2	target
MIR100	MIR10A	GOLGA3
MIR100	MIR10A	ID4
MIR100	MIR10A	LCORL
MIR100	MIR10A	IGF1R
MIR100	MIR10A	FOXJ3
MIR100	MIR10A	HOXA1
MIR100	MIR10A	MTMR3
MIR100	MIR10A	NFAT5
MIR100	MIR10A	LRRC8B
MIR100	MIR10A	ESRRG
MIR100	MIR10A	MTF1
MIR100	MIR10A	DACH1
MIR100	MIR10A	E2F3
MIR100	MIR10A	NFIB
MIR100	MIR10A	ITGB8
MIR100	MIR10A	CELF2
MIR100	MIR10A	PTEN
MIR100	MIR10A	CREB1
MIR100	MIR10A	NR6A1
MIR100	MIR10A	EBF1
MIR100	MIR10A	ZFP36L1
MIR100	MIR10A	UBE2K
MIR100	MIR10B	GOLGA3
MIR100	MIR10B	API5
MIR100	MIR10B	MDM2
MIR100	MIR10B	RALA
MIR100	MIR10B	LCORL
MIR100	MIR10B	FMR1
MIR100	MIR10B	HOXA1
MIR100	MIR10B	MTMR3
MIR100	MIR10B	RMND5A
MIR100	MIR10B	ZNF148
MIR100	MIR10B	SCN1A
MIR100	MIR10B	NFAT5
MIR100	MIR10B	TRIB2
MIR100	MIR10B	SOX6
MIR100	MIR10B	CREBRF
MIR100	MIR10B	LRRC8B
MIR100	MIR10B	ESRRG
MIR100	MIR10B	MTF1
MIR100	MIR10B	E2F3
MIR100	MIR10B	MPPED2
MIR100	MIR10B	KCNIP4
MIR100	MIR10B	ITGB8
MIR100	MIR10B	GSK3B
MIR100	MIR10B	ACVR2B
MIR100	MIR10B	ANKRD12
MIR100	MIR10B	TENT4A
MIR100	MIR10B	CELF2
MIR100	MIR10B	PTEN
MIR100	MIR10B	ZC3H12C
MIR100	MIR10B	CREB1
MIR100	MIR10B	NR6A1
MIR100	MIR125A	DOCK3
MIR100	MIR125A	SGK1
MIR100	MIR125A	TMEM135
MIR100	MIR125A	FXR1
MIR100	MIR125A	NT5DC1
MIR100	MIR125A	WIPF2
MIR100	MIR125A	TARDBP
MIR100	MIR125A	STK26
MIR100	MIR125A	CBL
MIR100	MIR125A	TET2
MIR100	MIR125A	MTF1
MIR100	MIR125A	DACH1
MIR100	MIR125A	E2F3
MIR100	MIR125A	MAMDC2
MIR100	MIR125A	TAOK1
MIR100	MIR125A	TRIM71
MIR100	MIR125A	GATAD2B
MIR100	MIR125A	ACVR2B
MIR100	MIR125A	PPP1CB
MIR100	MIR125A	BAZ2A
MIR100	MIR125A	ZBTB7A
MIR100	MIR125A	CEP85
MIR100	MIR125A	PRDM1
MIR100	MIR125A	ZSWIM5
MIR100	MIR125A	CREB1
MIR100	MIR125B1	DOCK3
MIR100	MIR125B1	USP15
MIR100	MIR125B1	TMEM135
MIR100	MIR125B1	USP9X
MIR100	MIR125B1	MTF1
MIR100	MIR125B1	SPTBN1
MIR100	MIR125B1	CEP85
MIR100	MIR125B1	MAMDC2
MIR100	MIR125B1	TET2
MIR100	MIR125B1	PRDM1
MIR100	MIR125B1	ZSWIM5
MIR100	MIR125B1	TRIM71
MIR100	MIR125B1	SLC16A6
MIR100	MIR125B2	DOCK3
MIR100	MIR125B2	USP15
MIR100	MIR125B2	TMEM135
MIR100	MIR125B2	SREK1
MIR100	MIR125B2	SLC16A6
MIR100	MIR125B2	LCORL
MIR100	MIR125B2	UBE2N
MIR100	MIR125B2	GNB4
MIR100	MIR125B2	TET2
MIR100	MIR125B2	CREBRF
MIR100	MIR125B2	ZNF207
MIR100	MIR125B2	ESRRG
MIR100	MIR125B2	MTF1
MIR100	MIR125B2	MAMDC2
MIR100	MIR125B2	TAOK1
MIR100	MIR125B2	PRPF39
MIR100	MIR125B2	TRIM71
MIR100	MIR125B2	PTPRK
MIR100	MIR125B2	HNRNPU
MIR100	MIR125B2	CEP85
MIR100	MIR125B2	ZC3H12C
MIR100	MIR125B2	PTEN
MIR100	MIR125B2	PRDM1
MIR100	MIR125B2	ZSWIM5
MIR10A	MIR125A	NR4A3
MIR10A	MIR125A	IRF2BP2
MIR10A	MIR125A	PCDH10
MIR10A	MIR125A	USP46
MIR10A	MIR125A	IKZF2
MIR10A	MIR125A	BBX
MIR10A	MIR125A	BRWD1
MIR10A	MIR125A	PDE7A
MIR10A	MIR125A	MYT1L
