miRNA_1	miRNA_2	target
MIR100	MIR10A	PCBP1
MIR100	MIR10A	SNX4
MIR100	MIR10A	UBQLN1
MIR100	MIR10A	ARHGAP29
MIR100	MIR10A	PCBP2
MIR100	MIR10A	FASN
MIR100	MIR10A	AHNAK
MIR100	MIR10B	PALM2-AKAP2
MIR100	MIR10B	PSMD1
MIR100	MIR10B	HIST1H2AG
MIR100	MIR10B	FASN
MIR100	MIR10B	AHNAK
MIR100	MIR10B	ZNF217
MIR100	MIR125A	BAZ2A
MIR100	MIR125A	WSB1
MIR100	MIR125A	PALM2-AKAP2
MIR100	MIR125A	TSPAN14
MIR100	MIR125A	AHNAK
MIR100	MIR125A	NIPBL
MIR100	MIR125A	CTGF
MIR100	MIR125A	RAB2A
MIR100	MIR125B1	BAZ2A
MIR100	MIR125B1	TNRC6B
MIR100	MIR125B1	PALM2-AKAP2
MIR100	MIR125B1	TSPAN14
MIR100	MIR125B1	NIPBL
MIR100	MIR125B1	AHNAK
MIR100	MIR125B1	RAB2A
MIR100	MIR125B2	BAZ2A
MIR100	MIR125B2	TNRC6B
MIR100	MIR125B2	FOXP1
MIR100	MIR125B2	GNB1
MIR100	MIR125B2	WSB1
MIR100	MIR125B2	PALM2-AKAP2
MIR100	MIR125B2	TSPAN14
MIR100	MIR125B2	NIPBL
MIR100	MIR125B2	DAZAP2
MIR100	MIR125B2	HNRNPH1
MIR100	MIR125B2	AHNAK
MIR100	MIR125B2	RAB2A
MIR10A	MIR125A	FNDC3B
MIR10A	MIR125A	JUN
MIR10A	MIR125A	RNF213
MIR10A	MIR125A	DST
MIR10A	MIR125A	SPTAN1
MIR10A	MIR125A	NDEL1
MIR10A	MIR125A	PLA2G4F
MIR10A	MIR125A	ABL2
MIR10A	MIR125A	RASA2
MIR10A	MIR125A	DDX5
MIR10A	MIR125A	RASSF8
MIR10A	MIR125A	DICER1
MIR10A	MIR125A	PIKFYVE
MIR10A	MIR125A	MACF1
MIR10A	MIR125A	LEPROT
MIR10A	MIR125A	AHNAK
MIR10A	MIR125A	SSR1
MIR10A	MIR125A	THUMPD3
MIR10A	MIR125A	SERPINE1
MIR10A	MIR125A	MOB1A
MIR10A	MIR125A	ARID3A
MIR10A	MIR125A	VEGFA
MIR10A	MIR125B1	FNDC3B
MIR10A	MIR125B1	JUN
MIR10A	MIR125B1	RNF213
MIR10A	MIR125B1	PMAIP1
MIR10A	MIR125B1	SPTAN1
MIR10A	MIR125B1	PLA2G4F
MIR10A	MIR125B1	ABL2
MIR10A	MIR125B1	RASA2
MIR10A	MIR125B1	DDX5
MIR10A	MIR125B1	CSDE1
MIR10A	MIR125B1	CREB1
MIR10A	MIR125B1	DICER1
MIR10A	MIR125B1	PIKFYVE
MIR10A	MIR125B1	LEPROT
MIR10A	MIR125B1	AHNAK
MIR10A	MIR125B1	SSR1
MIR10A	MIR125B1	SERPINE1
MIR10A	MIR125B1	MOB1A
MIR10A	MIR125B1	ARID3A
MIR10A	MIR125B1	EIF5
MIR10A	MIR125B1	VEGFA
MIR10A	MIR125B1	MED1
MIR10A	MIR125B2	RHOA
MIR10A	MIR125B2	FNDC3B
MIR10A	MIR125B2	ZFP36L1
MIR10A	MIR125B2	JUN
MIR10A	MIR125B2	RNF213
MIR10A	MIR125B2	PMAIP1
MIR10A	MIR125B2	PTGS2
MIR10A	MIR125B2	SPTAN1
MIR10A	MIR125B2	LAMB1
MIR10A	MIR125B2	PLA2G4F
MIR10A	MIR125B2	ABL2
MIR10A	MIR125B2	RASA2
MIR10A	MIR125B2	DDX5
MIR10A	MIR125B2	CSDE1
MIR10A	MIR125B2	CREB1
MIR10A	MIR125B2	DICER1
MIR10A	MIR125B2	PIKFYVE
MIR10A	MIR125B2	BCL2L11
MIR10A	MIR125B2	LEPROT
MIR10A	MIR125B2	AHNAK
MIR10A	MIR125B2	SSR1
MIR10A	MIR125B2	SERPINE1
MIR10A	MIR125B2	MOB1A
MIR10A	MIR125B2	ARID3A
MIR10A	MIR125B2	EIF5
MIR10A	MIR125B2	VEGFA
MIR10A	MIR125B2	MED1
MIR10A	MIR125B2	MME
MIR10A	MIR99B	LSS
MIR10A	MIR99B	PLA2G4F
MIR10A	MIR99B	ACTG1
MIR10A	MIR99B	VEGFA
MIR10A	MIR99B	NR1D1
MIR10B	MIR125A	GFPT1
MIR10B	MIR125A	PLA2G4F
MIR10B	MIR125A	SERPINE1
MIR10B	MIR125A	SRRM2
MIR10B	MIR125A	MOB1A
MIR10B	MIR125A	JUN
MIR10B	MIR125A	RNF213
MIR10B	MIR125A	PALM2-AKAP2
MIR10B	MIR125A	FNDC3B
MIR10B	MIR125A	DST
MIR10B	MIR125A	CA12
MIR10B	MIR125A	PGM3
MIR10B	MIR125A	UGCG
MIR10B	MIR125A	SHISA5
MIR10B	MIR125A	NUP133
MIR10B	MIR125A	SPTAN1
MIR10B	MIR125A	RASA2
MIR10B	MIR125A	AHNAK
MIR10B	MIR125B1	GFPT1
MIR10B	MIR125B1	PLA2G4F
MIR10B	MIR125B1	SERPINE1
MIR10B	MIR125B1	SRRM2
MIR10B	MIR125B1	MOB1A
MIR10B	MIR125B1	JUN
MIR10B	MIR125B1	RNF213
MIR10B	MIR125B1	PALM2-AKAP2
MIR10B	MIR125B1	FNDC3B
MIR10B	MIR125B1	CREB1
MIR10B	MIR125B1	CA12
MIR10B	MIR125B1	UGCG
MIR10B	MIR125B1	NUP133
MIR10B	MIR125B1	SPTAN1
MIR10B	MIR125B1	RASA2
MIR10B	MIR125B1	AHNAK
MIR10B	MIR125B2	GFPT1
MIR10B	MIR125B2	FNDC3B
MIR10B	MIR125B2	JUN
MIR10B	MIR125B2	RNF213
MIR10B	MIR125B2	PTGS2
MIR10B	MIR125B2	SPTAN1
MIR10B	MIR125B2	PLA2G4F
MIR10B	MIR125B2	CA12
MIR10B	MIR125B2	RASA2
MIR10B	MIR125B2	ZBTB41
MIR10B	MIR125B2	TBL1XR1
MIR10B	MIR125B2	CREB1
MIR10B	MIR125B2	NUP133
MIR10B	MIR125B2	BCL2L11
MIR10B	MIR125B2	AHNAK
MIR10B	MIR125B2	SERPINE1
MIR10B	MIR125B2	SRRM2
MIR10B	MIR125B2	MOB1A
MIR10B	MIR125B2	PALM2-AKAP2
MIR10B	MIR125B2	SH3PXD2A
MIR10B	MIR125B2	PTEN
MIR10B	MIR125B2	UGCG
MIR10B	MIR125B2	MME
MIR10B	MIR99A	PSMD1
MIR10B	MIR99A	ZNF217
MIR10B	MIR99B	LSS
MIR10B	MIR99B	PLA2G4F
MIR10B	MIR99B	ACTG1
MIR10B	MIR99B	UGCG
MIR10B	MIR99B	NR1D1
MIR10B	MIR99B	ZNF217
MIR125A	MIR99A	BAZ2A
MIR125A	MIR99A	PPL
MIR125A	MIR99A	ANPEP
