miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
gene_name_1	gene_name_2	not_in_G	not_in_G
MIR101-1	MIR101-2	UBE2D2	UBE2D1
MIR101-1	MIR101-2	SMARCA1	SMARCA5
MIR101-1	MIR101-2	ZEB2	ZEB1
MIR103A1	MIR103A2	MBNL1	MBNL2
MIR103A1	MIR103A2	PDE3B	PDE3A
MIR103A1	MIR103A2	NPAS2	CLOCK
MIR103A1	MIR103A2	CHD2	CHD1
MIR103A1	MIR103A2	ANK3	ANK2
MIR103A1	MIR103A2	SCN1A	SCN8A
MIR103A1	MIR103A2	SCN8A	SCN2A
MIR103A1	MIR103A2	MYBL1	MYB
MIR103A1	MIR107	NPAS2	CLOCK
MIR103A1	MIR107	CHD2	CHD1
MIR103A1	MIR107	SCN1A	SCN8A
MIR103A1	MIR107	SCN8A	SCN2A
MIR103A1	MIR107	MYBL1	MYB
MIR103A2	MIR107	NPAS2	CLOCK
MIR103A2	MIR107	CHD2	CHD1
MIR103A2	MIR107	SCN1A	SCN8A
MIR103A2	MIR107	SCN8A	SCN2A
MIR103A2	MIR107	MYBL1	MYB
MIR106A	MIR106B	NR4A3	NR4A2
MIR106A	MIR106B	EPHA4	EPHA7
MIR106A	MIR106B	RGMB	RGMA
MIR106A	MIR106B	ARID4A	ARID4B
MIR106A	MIR106B	TRIP10	FNBP1L
MIR106A	MIR17	NR4A3	NR4A2
MIR106A	MIR17	EPHA4	EPHA7
MIR106A	MIR17	RGMB	RGMA
MIR106A	MIR17	ARID4A	ARID4B
MIR106A	MIR17	VLDLR	LDLR
MIR106A	MIR17	TRIP10	FNBP1L
MIR106B	MIR17	NR4A3	NR4A2
MIR106B	MIR17	EPHA4	EPHA7
MIR106B	MIR17	RGMB	RGMA
MIR106B	MIR17	ARID4A	ARID4B
MIR106B	MIR17	TRIP10	FNBP1L
MIR10A	MIR10B	EPHA4	EPHA5
MIR10A	MIR10B	HOXA3	HOXB3
MIR124-1	MIR124-3	AFF1	AFF4
MIR124-1	MIR124-3	AFF1	AFF3
MIR124-1	MIR124-3	CELF2	CELF1
MIR124-1	MIR124-3	PTBP3	PTBP1
MIR124-1	MIR124-3	PTBP3	PTBP2
MIR124-1	MIR124-3	SP1	SP2
MIR124-1	MIR124-3	MTF2	PHF19
MIR124-1	MIR124-3	GRIA2	GRIA3
MIR124-1	MIR124-3	OSBPL11	OSBPL10
MIR124-1	MIR124-3	KPNA4	KPNA3
MIR124-1	MIR124-3	AFF3	AFF4
MIR124-1	MIR124-3	RNF165	RNF111
MIR124-1	MIR124-3	HIVEP2	HIVEP1
MIR124-1	MIR124-3	PTBP2	PTBP1
MIR124-1	MIR124-3	AGPAT3	AGPAT4
MIR124-1	MIR124-3	LIN7A	LIN7C
MIR124-1	MIR124-3	PDE4D	PDE4B
MIR124-1	MIR124-3	HIPK1	HIPK3
MIR124-1	MIR124-3	GNAI2	GNAI1
MIR124-1	MIR124-3	EPB41L1	EPB41L2
MIR124-1	MIR124-2	AFF1	AFF4
MIR124-1	MIR124-2	AFF1	AFF3
MIR124-1	MIR124-2	CELF2	CELF1
MIR124-1	MIR124-2	PTBP3	PTBP1
MIR124-1	MIR124-2	PTBP3	PTBP2
MIR124-1	MIR124-2	SP1	SP2
MIR124-1	MIR124-2	MTF2	PHF19
MIR124-1	MIR124-2	GRIA2	GRIA3
MIR124-1	MIR124-2	OSBPL11	OSBPL10
MIR124-1	MIR124-2	KPNA4	KPNA3
MIR124-1	MIR124-2	AFF3	AFF4
MIR124-1	MIR124-2	RNF165	RNF111
MIR124-1	MIR124-2	HIVEP2	HIVEP1
MIR124-1	MIR124-2	PTBP2	PTBP1
MIR124-1	MIR124-2	AGPAT3	AGPAT4
MIR124-1	MIR124-2	LIN7A	LIN7C
MIR124-1	MIR124-2	PDE4D	PDE4B
MIR124-1	MIR124-2	HIPK1	HIPK3
MIR124-1	MIR124-2	GNAI2	GNAI1
MIR124-1	MIR124-2	EPB41L1	EPB41L2
MIR124-3	MIR124-2	AFF1	AFF4
MIR124-3	MIR124-2	AFF1	AFF3
MIR124-3	MIR124-2	CELF2	CELF1
MIR124-3	MIR124-2	PTBP3	PTBP1
MIR124-3	MIR124-2	PTBP3	PTBP2
MIR124-3	MIR124-2	SP1	SP2
MIR124-3	MIR124-2	MTF2	PHF19
MIR124-3	MIR124-2	GRIA2	GRIA3
MIR124-3	MIR124-2	OSBPL11	OSBPL10
MIR124-3	MIR124-2	KPNA4	KPNA3
MIR124-3	MIR124-2	AFF3	AFF4
MIR124-3	MIR124-2	RNF165	RNF111
MIR124-3	MIR124-2	HIVEP2	HIVEP1
MIR124-3	MIR124-2	PTBP2	PTBP1
MIR124-3	MIR124-2	AGPAT3	AGPAT4
MIR124-3	MIR124-2	LIN7A	LIN7C
MIR124-3	MIR124-2	PDE4D	PDE4B
MIR124-3	MIR124-2	HIPK1	HIPK3
MIR124-3	MIR124-2	GNAI2	GNAI1
MIR124-3	MIR124-2	EPB41L1	EPB41L2
MIR125A	MIR125B1	ZSWIM6	ZSWIM5
MIR125A	MIR125B1	SEMA4D	SEMA4C
MIR125A	MIR125B1	LIN28B	LIN28A
MIR125A	MIR125B1	MAP3K11	MAP3K10
MIR125A	MIR125B2	ZSWIM6	ZSWIM5
MIR125A	MIR125B2	SEMA4D	SEMA4C
MIR125A	MIR125B2	LIN28B	LIN28A
MIR125A	MIR125B2	MAP3K11	MAP3K10
MIR125B1	MIR125B2	ZSWIM6	ZSWIM5
MIR125B1	MIR125B2	SEMA4D	SEMA4C
MIR125B1	MIR125B2	LIN28B	LIN28A
MIR125B1	MIR125B2	MAP3K11	MAP3K10
MIR128-1	MIR128-2	SMAD3	SMAD2
MIR128-1	MIR128-2	KCNK2	KCNK10
MIR128-1	MIR128-2	NFIX	NFIC
MIR129-1	MIR129-2	TET1	TET2
MIR129-1	MIR129-2	RBMS1	RBMS3
MIR129-1	MIR129-2	SP3	SP4
MIR129-1	MIR129-2	AMMECR1	AMMECR1L
MIR129-1	MIR129-2	EGLN3	EGLN1
MIR129-1	MIR129-2	NRXN3	NRXN1
MIR129-1	MIR129-2	ISL1	LHX2
MIR129-1	MIR129-2	ZFP36L2	ZFP36L1
MIR129-1	MIR129-2	RUNX2	RUNX1
MIR129-1	MIR129-2	ETV1	ETV5
MIR129-1	MIR129-2	PTPN3	PTPN4
MIR1-1	MIR1-2	YWHAZ	YWHAQ
MIR1-1	MIR1-2	CNN3	TAGLN2
MIR1-1	MIR1-2	FNDC3A	FNDC3B
MIR1-1	MIR1-2	ZNF281	ZNF148
MIR1-1	MIR1-2	SRSF9	SRSF1
MIR1-1	MIR206	YWHAZ	YWHAQ
MIR1-1	MIR206	CNN3	TAGLN2
MIR1-1	MIR206	FNDC3A	FNDC3B
MIR1-1	MIR206	ZNF281	ZNF148
MIR1-1	MIR206	SRSF9	SRSF1
MIR1-2	MIR206	YWHAZ	YWHAQ
MIR1-2	MIR206	CNN3	TAGLN2
MIR1-2	MIR206	FNDC3A	FNDC3B
MIR1-2	MIR206	ZNF281	ZNF148
MIR1-2	MIR206	SRSF9	SRSF1
MIR133A1	MIR133A2	ANKRD52	ANKRD44
MIR133A1	MIR133A2	ANKRD52	ANKRD28
MIR133A1	MIR133A2	PTBP3	PTBP1
MIR133A1	MIR133A2	TJP2	TJP1
MIR133A1	MIR133A2	RIMS1	RIMS2
MIR133A1	MIR133A2	FOXP2	FOXP4
MIR133A1	MIR133A2	PPP2CB	PPP2CA
MIR133A1	MIR133A2	ANKRD28	ANKRD44
MIR133A1	MIR133A2	PLEKHA3	PLEKHA8
MIR133A1	MIR133B	PPP2CA	PPP2CB
MIR133A1	MIR133B	PTBP3	PTBP1
MIR133A1	MIR133B	ANKRD28	ANKRD44
MIR133A2	MIR133B	PPP2CA	PPP2CB
MIR133A2	MIR133B	PTBP3	PTBP1
MIR133A2	MIR133B	ANKRD28	ANKRD44
MIR135A1	MIR135A2	ENTPD4	ENTPD7
MIR135A1	MIR135A2	FOXN2	FOXN3
MIR135A1	MIR135A2	SMAD2	SMAD5
MIR135A1	MIR135A2	MEF2A	MEF2C
MIR135A1	MIR135A2	CPLX2	CPLX1
MIR135A1	MIR135A2	ZNF385B	ZNF385A
MIR135A1	MIR135B	ENTPD4	ENTPD7
MIR135A1	MIR135B	FOXN2	FOXN3
MIR135A1	MIR135B	SMAD2	SMAD5
MIR135A1	MIR135B	MEF2A	MEF2C
MIR135A1	MIR135B	CPLX2	CPLX1
MIR135A1	MIR135B	ZNF385B	ZNF385A
MIR135A2	MIR135B	ENTPD4	ENTPD7
MIR135A2	MIR135B	FOXN2	FOXN3
MIR135A2	MIR135B	SMAD2	SMAD5
MIR135A2	MIR135B	MEF2A	MEF2C
MIR135A2	MIR135B	CPLX2	CPLX1
MIR135A2	MIR135B	ZNF385B	ZNF385A
MIR138-1	MIR138-2	TCF7L2	TCF7L1
MIR138-1	MIR138-2	NFIX	NFIB
MIR146A	MIR146B	CELF2	CELF1
MIR148A	MIR148B	B4GALT5	B4GALT6
MIR148A	MIR148B	MAFB	MAF
MIR148A	MIR148B	TNRC6C	TNRC6A
MIR148A	MIR148B	ESR1	ESRRG
MIR148A	MIR148B	FMR1	FXR1
MIR148A	MIR152	B4GALT5	B4GALT6
MIR148A	MIR152	NCOA1	NCOA2
MIR148A	MIR152	TNRC6C	TNRC6A
MIR148A	MIR152	ESR1	ESRRG
MIR148A	MIR152	FMR1	FXR1
MIR148B	MIR152	B4GALT5	B4GALT6
MIR148B	MIR152	TNRC6C	TNRC6A
MIR148B	MIR152	ESR1	ESRRG
MIR148B	MIR152	FMR1	FXR1
MIR153-1	MIR153-2	NEUROD6	NEUROD1
MIR153-1	MIR153-2	NFIA	NFIB
MIR15A	MIR15B	PIP4P1	PIP4P2
MIR15A	MIR15B	CCND2	CCND1
MIR15A	MIR15B	SALL4	SALL1
MIR15A	MIR15B	PTPN3	PTPN4
MIR15A	MIR424	PIP4P1	PIP4P2
MIR15A	MIR424	CCND2	CCND1
MIR15A	MIR424	PTPN3	PTPN4
MIR15A	MIR497	PIP4P1	PIP4P2
MIR15A	MIR497	CPEB2	CPEB3
MIR15A	MIR497	ACVR2B	ACVR2A
MIR15A	MIR497	CCND2	CCND1
MIR15A	MIR497	SALL4	SALL1
MIR15A	MIR497	PTPN3	PTPN4
MIR15B	MIR424	PIP4P1	PIP4P2
MIR15B	MIR424	CCND2	CCND1
MIR15B	MIR424	PTPN3	PTPN4
MIR15B	MIR497	PIP4P1	PIP4P2
MIR15B	MIR497	CCND2	CCND1
MIR15B	MIR497	SALL4	SALL1
MIR15B	MIR497	PTPN3	PTPN4
MIR424	MIR497	PIP4P1	PIP4P2
MIR424	MIR497	CCND2	CCND1
MIR424	MIR497	PTPN3	PTPN4
MIR16-1	MIR16-2	PIP4P1	PIP4P2
MIR16-1	MIR16-2	ACVR2B	ACVR2A
MIR16-1	MIR16-2	CCND2	CCND1
MIR16-1	MIR195	PIP4P1	PIP4P2
MIR16-1	MIR195	CCND2	CCND1
MIR16-1	MIR503	PIP4P1	PIP4P2
MIR16-2	MIR195	PIP4P1	PIP4P2
MIR16-2	MIR195	VEGFC	VEGFA
MIR16-2	MIR195	MTF2	PHF19
MIR16-2	MIR195	BMI1	PCGF3
MIR16-2	MIR195	CCND2	CCND1
MIR16-2	MIR195	ARFGEF1	ARFGEF2
MIR16-2	MIR195	EYA1	EYA4
MIR16-2	MIR195	TSHZ3	TSHZ1
MIR16-2	MIR503	PIP4P1	PIP4P2
MIR16-2	MIR503	CPEB2	CPEB3
MIR195	MIR503	PIP4P1	PIP4P2
