miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
gene_name_1	gene_name_2	not_in_G	not_in_G
MIR103A1	MIR103A2	FUBP1	KHSRP
MIR103A1	MIR103A2	LATS1	LATS2
MIR103A1	MIR103A2	SEC24D	SEC24C
MIR103A1	MIR103A2	ABL1	ABL2
MIR103A1	MIR103A2	CHD3	CHD4
MIR103A1	MIR103A2	KPNA6	KPNA1
MIR103A1	MIR103A2	PURB	PURA
MIR103A1	MIR103A2	NFIX	NFIA
MIR103A1	MIR103A2	DYSF	MYOF
MIR103A1	MIR103A2	SNX5	SNX6
MIR103A1	MIR103A2	RAVER1	RAVER2
MIR103A1	MIR103A2	RAB1B	RAB1A
MIR103A1	MIR103A2	ORAI1	ORAI2
MIR103A1	MIR103A2	FRYL	FRY
MIR103A1	MIR103A2	ATP13A3	ATP13A2
MIR103A1	MIR103A2	PLAGL1	PLAGL2
MIR103A1	MIR103A2	THOP1	NLN
MIR103A1	MIR103A2	ZBED1	ZBED4
MIR103A1	MIR103A2	RNPEP	RNPEPL1
MIR103A1	MIR103A2	APP	APLP2
MIR103A1	MIR103A2	ACTG1	ACTB
MIR103A1	MIR103A2	TLE2	TLE3
MIR103A1	MIR103A2	BTBD1	BTBD2
MIR103A1	MIR103A2	ZFP36L1	ZFP36L2
MIR103A1	MIR103A2	KLF7	KLF6
MIR103A1	MIR103A2	ELK4	ELK3
MIR103A1	MIR103A2	ARAP1	ARAP3
MIR103A1	MIR103A2	RNF19B	RNF19A
MIR103A1	MIR103A2	AGO1	AGO2
MIR103A1	MIR103A2	FRMD4B	FRMD4A
MIR103A1	MIR103A2	PRKAR2A	PRKAR2B
MIR103A1	MIR103A2	JOSD2	JOSD1
MIR103A1	MIR103A2	PLOD3	PLOD1
MIR103A1	MIR107	FUBP1	KHSRP
MIR103A1	MIR107	LATS1	LATS2
MIR103A1	MIR107	SEC24D	SEC24C
MIR103A1	MIR107	ABL1	ABL2
MIR103A1	MIR107	CHD3	CHD4
MIR103A1	MIR107	KPNA6	KPNA1
MIR103A1	MIR107	PURB	PURA
MIR103A1	MIR107	NFIX	NFIA
MIR103A1	MIR107	DYSF	MYOF
MIR103A1	MIR107	SNX5	SNX6
MIR103A1	MIR107	RAVER1	RAVER2
MIR103A1	MIR107	RAB1B	RAB1A
MIR103A1	MIR107	ORAI1	ORAI2
MIR103A1	MIR107	FRYL	FRY
MIR103A1	MIR107	ATP13A3	ATP13A2
MIR103A1	MIR107	PLAGL1	PLAGL2
MIR103A1	MIR107	ZBED1	ZBED4
MIR103A1	MIR107	RNPEP	RNPEPL1
MIR103A1	MIR107	APP	APLP2
MIR103A1	MIR107	ACTG1	ACTB
MIR103A1	MIR107	TLE2	TLE3
MIR103A1	MIR107	BTBD1	BTBD2
MIR103A1	MIR107	KLF7	KLF6
MIR103A1	MIR107	ELK4	ELK3
MIR103A1	MIR107	ARAP1	ARAP3
MIR103A1	MIR107	RNF19B	RNF19A
MIR103A1	MIR107	FRMD4B	FRMD4A
MIR103A1	MIR107	PRKAR2A	PRKAR2B
MIR103A1	MIR107	JOSD2	JOSD1
MIR103A1	MIR107	PLOD3	PLOD1
MIR103A2	MIR107	FUBP1	KHSRP
MIR103A2	MIR107	LATS1	LATS2
MIR103A2	MIR107	SEC24D	SEC24C
MIR103A2	MIR107	ABL1	ABL2
MIR103A2	MIR107	CHD3	CHD4
MIR103A2	MIR107	KPNA6	KPNA1
MIR103A2	MIR107	PURB	PURA
MIR103A2	MIR107	NFIX	NFIA
MIR103A2	MIR107	DYSF	MYOF
MIR103A2	MIR107	SNX5	SNX6
MIR103A2	MIR107	RAVER1	RAVER2
MIR103A2	MIR107	RAB1B	RAB1A
MIR103A2	MIR107	ORAI1	ORAI2
MIR103A2	MIR107	FRYL	FRY
MIR103A2	MIR107	ATP13A3	ATP13A2
MIR103A2	MIR107	PLAGL1	PLAGL2
MIR103A2	MIR107	ZBED1	ZBED4
MIR103A2	MIR107	RNPEP	RNPEPL1
MIR103A2	MIR107	APP	APLP2
MIR103A2	MIR107	ACTG1	ACTB
MIR103A2	MIR107	TLE2	TLE3
MIR103A2	MIR107	BTBD1	BTBD2
MIR103A2	MIR107	KLF7	KLF6
MIR103A2	MIR107	ELK4	ELK3
MIR103A2	MIR107	ARAP1	ARAP3
MIR103A2	MIR107	RNF19B	RNF19A
MIR103A2	MIR107	FRMD4B	FRMD4A
MIR103A2	MIR107	PRKAR2A	PRKAR2B
MIR103A2	MIR107	JOSD2	JOSD1
MIR103A2	MIR107	PLOD3	PLOD1
MIR106A	MIR106B	CCND1	CCND2
MIR106A	MIR106B	MOB1A	MOB1B
MIR106A	MIR106B	MAST4	MAST2
MIR106A	MIR17	SMAD3	SMAD5
MIR106A	MIR17	CCND1	CCND2
MIR106A	MIR17	MOB1A	MOB1B
MIR106A	MIR17	MACF1	DST
MIR106A	MIR17	MAP3K9	MAP3K11
MIR106A	MIR17	NFIB	NFIC
MIR106A	MIR17	RHOA	RHOC
MIR106A	MIR17	MAST4	MAST2
MIR106A	MIR17	NCOA3	NCOA1
MIR106B	MIR17	CCND1	CCND2
MIR106B	MIR17	MOB1A	MOB1B
MIR106B	MIR17	MAST4	MAST2
MIR124-1	MIR124-3	CDK4	CDK6
MIR124-1	MIR124-3	TUBB4B	TUBB
MIR124-1	MIR124-2	CDK4	CDK6
MIR124-1	MIR124-2	TUBB4B	TUBB
MIR124-3	MIR124-2	CDK4	CDK6
MIR124-3	MIR124-2	TUBB4B	TUBB
MIR125A	MIR125B1	VPS13A	VPS13C
MIR125A	MIR125B1	CDH13	DSG2
MIR125A	MIR125B1	CAMSAP3	CAMSAP2
MIR125A	MIR125B1	TET3	TET2
MIR125A	MIR125B1	YTHDF2	YTHDF3
MIR125A	MIR125B2	VPS13A	VPS13C
MIR125A	MIR125B2	CDH13	DSG2
MIR125A	MIR125B2	CAMSAP3	CAMSAP2
MIR125A	MIR125B2	TET3	TET2
MIR125A	MIR125B2	YTHDF2	YTHDF3
MIR125B1	MIR125B2	VPS13A	VPS13C
MIR125B1	MIR125B2	CDH13	DSG2
MIR125B1	MIR125B2	CAMSAP3	CAMSAP2
MIR125B1	MIR125B2	TET3	TET2
MIR125B1	MIR125B2	STARD8	DLC1
MIR125B1	MIR125B2	YTHDF2	YTHDF3
MIR128-1	MIR128-2	LMNB1	LMNB2
MIR129-1	MIR129-2	TPD52L2	TPD52
MIR133A1	MIR133A2	EIF4A2	EIF4A1
MIR133A1	MIR133A2	YPEL3	YPEL2
MIR146A	MIR146B	ISG20L2	AEN
MIR146A	MIR146B	YTHDF3	YTHDF2
MIR148A	MIR148B	PAPSS1	PAPSS2
MIR148A	MIR152	PAPSS1	PAPSS2
MIR148A	MIR152	RC3H2	RC3H1
MIR148B	MIR152	PAPSS1	PAPSS2
MIR15A	MIR15B	CCND1	CCND2
MIR15A	MIR15B	IPO8	IPO7
MIR15A	MIR15B	LARP4	LARP4B
MIR15A	MIR424	CCND1	CCND2
MIR15A	MIR424	LARP4	LARP4B
MIR15A	MIR497	CCND1	CCND2
MIR15A	MIR497	LATS1	LATS2
MIR15B	MIR424	CCND1	CCND2
MIR15B	MIR424	LARP4	LARP4B
MIR15B	MIR497	CCND1	CCND2
MIR424	MIR497	CCND1	CCND2
MIR424	MIR497	PHC3	PHC2
MIR424	MIR497	RNF114	RNF138
MIR424	MIR497	TMEM87A	TMEM87B
MIR16-1	MIR16-2	CCND1	CCND2
MIR16-1	MIR16-2	MAP4K4	MINK1
MIR16-1	MIR16-2	LATS1	LATS2
MIR16-1	MIR16-2	ABL1	ABL2
MIR16-1	MIR16-2	HIPK1	HIPK2
MIR16-1	MIR16-2	BRD3	BRD4
MIR16-1	MIR16-2	BRD3	BRD2
MIR16-1	MIR16-2	ANXA5	ANXA4
MIR16-1	MIR16-2	FMNL2	FMNL3
MIR16-1	MIR16-2	NAV1	NAV2
MIR16-1	MIR16-2	LPP	ZYX
MIR16-1	MIR16-2	PLXNB2	PLXNA2
MIR16-1	MIR16-2	DYSF	MYOF
MIR16-1	MIR16-2	S1PR3	S1PR1
MIR16-1	MIR16-2	IPO7	IPO8
MIR16-1	MIR16-2	RAB1B	RAB1A
MIR16-1	MIR16-2	JAG2	JAG1
MIR16-1	MIR16-2	TIMP3	TIMP2
MIR16-1	MIR16-2	ATP13A3	ATP13A2
MIR16-1	MIR16-2	AP2B1	AP1B1
MIR16-1	MIR16-2	GNA12	GNA13
MIR16-1	MIR16-2	ROBO1	ROBO4
MIR16-1	MIR16-2	UNC13B	UNC13A
MIR16-1	MIR16-2	APP	APLP2
MIR16-1	MIR16-2	IGFBP2	IGFBP4
MIR16-1	MIR16-2	KDR	FLT1
MIR16-1	MIR16-2	FAM98A	FAM98B
MIR16-1	MIR16-2	FEM1A	FEM1B
MIR16-1	MIR16-2	KANK2	KANK1
MIR16-1	MIR16-2	MACF1	DST
MIR16-1	MIR16-2	PPP2R5D	PPP2R5C
MIR16-1	MIR16-2	B4GALT5	B4GALT2
MIR16-1	MIR16-2	DUSP2	DUSP1
MIR16-1	MIR16-2	RIC8B	RIC8A
MIR16-1	MIR16-2	SCRIB	LRRC1
MIR16-1	MIR16-2	GNAI1	GNAI3
MIR16-1	MIR16-2	FHL2	FHL3
MIR16-1	MIR16-2	REEP4	REEP3
MIR16-1	MIR16-2	PLXNA1	PLXNA2
MIR16-1	MIR16-2	LTBP1	LTBP3
MIR16-1	MIR16-2	PLOD2	PLOD1
MIR16-1	MIR16-2	RBM23	RBM39
MIR16-1	MIR16-2	PI4K2B	PI4K2A
MIR16-1	MIR16-2	ANKRD12	ANKRD11
MIR16-1	MIR16-2	ATP2B4	ATP2B1
MIR16-1	MIR16-2	LARP4	LARP4B
MIR16-1	MIR195	CCND1	CCND2
MIR16-1	MIR195	MACF1	DST
MIR16-1	MIR195	LARP4	LARP4B
MIR16-1	MIR503	CCND1	CCND2
MIR16-2	MIR195	CCND1	CCND2
MIR16-2	MIR195	MACF1	DST
MIR16-2	MIR195	VDAC3	VDAC1
MIR16-2	MIR195	LARP4	LARP4B
MIR16-2	MIR503	CCND1	CCND2
MIR195	MIR503	CCND1	CCND2
MIR181A1	MIR181A2	RC3H2	RC3H1
MIR181A1	MIR181A2	FOS	FOSL2
MIR181A1	MIR181A2	RBM26	RBM27
MIR181A1	MIR181A2	STX12	STX7
MIR181A1	MIR181A2	HK1	HK2
MIR181A1	MIR181A2	ZFP36L1	ZFP36L2
MIR181A1	MIR181A2	CLASP1	CLASP2
MIR181A1	MIR181A2	NOTCH1	NOTCH2
MIR181A1	MIR181A2	ILF3	ZFR
MIR181A1	MIR181A2	ILF3	STRBP
MIR181A1	MIR181A2	S1PR1	LPAR1
MIR181A1	MIR181A2	G3BP2	G3BP1
MIR181A1	MIR181A2	ZFR	STRBP
MIR181A1	MIR181C	RBM26	RBM27
MIR181A1	MIR181C	STX12	STX7
MIR181A1	MIR181C	ZFP36L1	ZFP36L2
MIR181A1	MIR181C	S1PR1	LPAR1
MIR181A1	MIR181C	G3BP2	G3BP1
MIR181A2	MIR181C	RBM26	RBM27
MIR181A2	MIR181C	STX12	STX7
MIR181A2	MIR181C	ZFP36L1	ZFP36L2
MIR181A2	MIR181C	S1PR1	LPAR1
MIR181A2	MIR181C	G3BP2	G3BP1
MIR181B1	MIR181B2	FOS	FOSL2
MIR181B1	MIR181B2	ZNF429	ZNF606
MIR181B1	MIR181B2	ZNF429	ZNF160
MIR181B1	MIR181B2	ZNF429	ZNF700
MIR181B1	MIR181B2	ZFP36L1	ZFP36L2
MIR181B1	MIR181B2	ZNF160	ZNF606
MIR181B1	MIR181B2	G3BP2	G3BP1
MIR181B1	MIR181D	FOS	FOSL2
MIR181B1	MIR181D	ZFP36L1	ZFP36L2
MIR181B2	MIR181D	FOS	FOSL2
MIR181B2	MIR181D	ZFP36L1	ZFP36L2
MIR18A	MIR18B	ENPP1	ENPP2
MIR18A	MIR18B	LMNB2	LMNA
MIR18A	MIR18B	ZNF519	ZFP69
MIR18A	MIR18B	ZNF519	ZNF493
MIR18A	MIR18B	CCNL2	CCNL1
MIR18A	MIR18B	PHC2	PHC3
MIR18A	MIR18B	YTHDF3	YTHDF1
MIR18A	MIR18B	ZFP69	ZNF493
MIR190A	MIR190B	not_in_G	not_in_G
MIR196A1	MIR196A2	RUFY3	RUFY2
MIR196A1	MIR196A2	B4GALT4	B4GALT1
MIR196A1	MIR196A2	MAML1	MAML3
MIR196A1	MIR196A2	S1PR1	LPAR1
MIR196A1	MIR196A2	HOXB8	HOXC8
MIR196A1	MIR196A2	GLTP	PLEKHA8
MIR196A1	MIR196A2	MBNL3	MBNL1
MIR196A1	MIR196B	RUFY3	RUFY2
MIR196A1	MIR196B	B4GALT4	B4GALT1
MIR196A1	MIR196B	S1PR1	LPAR1
MIR196A1	MIR196B	HOXB8	HOXC8
MIR196A1	MIR196B	MBNL3	MBNL1
MIR196A2	MIR196B	RUFY3	RUFY2
MIR196A2	MIR196B	B4GALT4	B4GALT1
MIR196A2	MIR196B	S1PR1	LPAR1
MIR196A2	MIR196B	HOXB8	HOXC8
MIR196A2	MIR196B	MBNL3	MBNL1
MIR199A1	MIR199A2	ZNF433	ZNF43
MIR199A1	MIR199A2	G3BP2	G3BP1
MIR199A1	MIR199A2	PRKCA	PRKCB
MIR199A1	MIR199A2	APP	APLP2
MIR199A1	MIR199B	G3BP2	G3BP1
MIR199A1	MIR199B	PRKCA	PRKCB
MIR199A1	MIR199B	APP	APLP2
MIR199A2	MIR199B	G3BP2	G3BP1
MIR199A2	MIR199B	PRKCA	PRKCB
MIR199A2	MIR199B	APP	APLP2
MIR19B1	MIR19B2	CCND1	CCND2
MIR19B1	MIR19B2	CNIH1	CNIH3
MIR19B1	MIR19B2	HIPK1	HIPK3
MIR19B1	MIR19B2	PPP2R5E	PPP2R5A
MIR19B1	MIR19B2	BRWD3	BRWD1
