miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
gene_name_1	gene_name_2	not_in_G	not_in_G
MIR101-1	MIR101-2	SMARCA1	SMARCA5
MIR101-1	MIR101-2	UBE2D2	UBE2D1
MIR103A1	MIR103A2	CLOCK	NPAS2
MIR103A1	MIR103A2	MBNL2	MBNL1
MIR103A1	MIR107	CLOCK	NPAS2
MIR103A2	MIR107	CLOCK	NPAS2
MIR106A	MIR106B	EPHA4	EPHA7
MIR106A	MIR17	EPHA4	EPHA7
MIR106B	MIR17	EPHA4	EPHA7
MIR124-1	MIR124-3	KPNA4	KPNA3
MIR124-1	MIR124-3	GRIA2	GRIA3
MIR124-1	MIR124-3	PTBP1	PTBP2
MIR124-1	MIR124-3	PTBP1	PTBP3
MIR124-1	MIR124-3	EPB41L2	EPB41L1
MIR124-1	MIR124-3	AFF4	AFF1
MIR124-1	MIR124-3	PDE4B	PDE4D
MIR124-1	MIR124-3	PTBP3	PTBP2
MIR124-1	MIR124-3	GNAI1	GNAI2
MIR124-1	MIR124-2	KPNA4	KPNA3
MIR124-1	MIR124-2	GRIA2	GRIA3
MIR124-1	MIR124-2	PTBP1	PTBP2
MIR124-1	MIR124-2	PTBP1	PTBP3
MIR124-1	MIR124-2	EPB41L2	EPB41L1
MIR124-1	MIR124-2	AFF4	AFF1
MIR124-1	MIR124-2	PDE4B	PDE4D
MIR124-1	MIR124-2	PTBP3	PTBP2
MIR124-1	MIR124-2	GNAI1	GNAI2
MIR124-3	MIR124-2	KPNA4	KPNA3
MIR124-3	MIR124-2	GRIA2	GRIA3
MIR124-3	MIR124-2	PTBP1	PTBP2
MIR124-3	MIR124-2	PTBP1	PTBP3
MIR124-3	MIR124-2	EPB41L2	EPB41L1
MIR124-3	MIR124-2	AFF4	AFF1
MIR124-3	MIR124-2	PDE4B	PDE4D
MIR124-3	MIR124-2	PTBP3	PTBP2
MIR124-3	MIR124-2	GNAI1	GNAI2
MIR128-1	MIR128-2	SMAD3	SMAD2
MIR129-1	MIR129-2	EGLN3	EGLN1
MIR1-1	MIR1-2	SRSF9	SRSF1
MIR1-1	MIR1-2	YWHAZ	YWHAQ
MIR1-1	MIR206	SRSF9	SRSF1
MIR1-1	MIR206	YWHAZ	YWHAQ
MIR1-2	MIR206	SRSF9	SRSF1
MIR1-2	MIR206	YWHAZ	YWHAQ
MIR133A1	MIR133A2	PPP2CB	PPP2CA
MIR133A1	MIR133A2	PTBP1	PTBP3
MIR133A1	MIR133A2	ANKRD44	ANKRD28
MIR133A1	MIR133A2	FOXP2	FOXP4
MIR133A1	MIR133A2	TJP1	TJP2
MIR133A1	MIR133B	PPP2CB	PPP2CA
MIR133A1	MIR133B	PTBP3	PTBP1
MIR133A1	MIR133B	ANKRD28	ANKRD44
MIR133A2	MIR133B	PPP2CB	PPP2CA
MIR133A2	MIR133B	PTBP3	PTBP1
MIR133A2	MIR133B	ANKRD28	ANKRD44
MIR135A1	MIR135A2	MEF2C	MEF2A
MIR135A1	MIR135A2	CPLX2	CPLX1
MIR135A1	MIR135B	MEF2C	MEF2A
MIR135A1	MIR135B	CPLX2	CPLX1
MIR135A2	MIR135B	MEF2C	MEF2A
MIR135A2	MIR135B	CPLX2	CPLX1
MIR148A	MIR148B	FMR1	FXR1
MIR148A	MIR152	FMR1	FXR1
MIR148B	MIR152	FMR1	FXR1
MIR15A	MIR497	ACVR2A	ACVR2B
MIR16-1	MIR16-2	ACVR2A	ACVR2B
MIR16-2	MIR195	BMI1	PCGF3
MIR16-2	MIR195	ARFGEF2	ARFGEF1
MIR181A1	MIR181A2	ACVR2A	ACVR2B
MIR181A1	MIR181C	ACVR2A	ACVR2B
MIR181A2	MIR181C	ACVR2A	ACVR2B
MIR181B1	MIR181B2	ACVR2A	ACVR2B
MIR181B1	MIR181D	ACVR2A	ACVR2B
MIR181B2	MIR181D	ACVR2A	ACVR2B
MIR190A	MIR190B	MEF2C	MEF2A
MIR196A1	MIR196A2	IGF2BP1	IGF2BP3
MIR196A1	MIR196B	IGF2BP1	IGF2BP3
MIR196A2	MIR196B	IGF2BP1	IGF2BP3
MIR199A1	MIR199A2	BTRC	FBXW11
MIR199A1	MIR199A2	ACVR2A	ACVR2B
MIR199A1	MIR199A2	PDE4B	PDE4D
MIR199A1	MIR199B	BTRC	FBXW11
MIR199A1	MIR199B	ACVR2A	ACVR2B
MIR199A1	MIR199B	PDE4B	PDE4D
MIR199A2	MIR199B	BTRC	FBXW11
MIR199A2	MIR199B	ACVR2A	ACVR2B
MIR199A2	MIR199B	PDE4B	PDE4D
MIR19B1	MIR19B2	CLOCK	NPAS2
MIR19B1	MIR19B2	PGR	ESR1
MIR19B1	MIR19B2	MBNL2	MBNL1
MIR141	MIR200A	MBNL1	MBNL3
MIR141	MIR200A	EPHA7	EPHA2
MIR20A	MIR20B	EPHA4	EPHA7
MIR204	MIR211	AP1S2	AP1S1
MIR204	MIR211	MTMR7	MTMR6
MIR192	MIR215	ACVR2A	ACVR2B
MIR218-1	MIR218-2	MBNL2	MBNL1
MIR219A1	MIR219A2	SYT1	SYT5
MIR23A	MIR23B	NEK7	NEK6
MIR24-1	MIR24-2	PDGFRA	PDGFRB
MIR24-1	MIR24-2	NRP1	NRP2
MIR26A1	MIR26A2	FMR1	FXR1
MIR26A1	MIR26A2	KPNA4	KPNA3
MIR26A1	MIR26A2	PRKCQ	PRKCD
MIR26A1	MIR26A2	ACSL4	ACSL3
MIR26A1	MIR26B	PRKCQ	PRKCD
MIR26A1	MIR26B	ACSL4	ACSL3
MIR26A2	MIR26B	PRKCQ	PRKCD
MIR26A2	MIR26B	ACSL4	ACSL3
MIR27A	MIR27B	NR2F2	NR2F6
MIR27A	MIR27B	YWHAB	YWHAQ
MIR27A	MIR27B	RARA	PPARG
MIR29A	MIR29C	DNMT3B	DNMT3A
MIR30A	MIR30E	PRKAA2	PRKAA1
MIR30A	MIR30D	PRKAA2	PRKAA1
MIR30E	MIR30D	PRKAA2	PRKAA1
MIR30C1	MIR30C2	SP3	SP1
MIR33A	MIR33B	KPNA4	KPNA3
MIR25	MIR363	FMR1	FXR1
MIR25	MIR367	FMR1	FXR1
MIR363	MIR367	FMR1	FXR1
MIR365A	MIR365B	ADD3	ADD1
MIR7-1	MIR7-3	IRS1	IRS2
MIR7-1	MIR7-3	PDE4B	PDE4D
MIR7-1	MIR7-2	IRS2	IRS1
MIR7-1	MIR7-2	G3BP2	G3BP1
MIR7-1	MIR7-2	PDE4B	PDE4D
MIR7-3	MIR7-2	IRS1	IRS2
MIR7-3	MIR7-2	PDE4B	PDE4D
MIR9-1	MIR9-2	FOXP2	FOXP4
MIR9-1	MIR9-2	SEC23IP	DDHD2
MIR9-1	MIR9-2	CNOT6L	CNOT6
MIR9-1	MIR9-2	STK3	STK4
MIR9-1	MIR9-3	FOXP2	FOXP4
MIR9-1	MIR9-3	SEC23IP	DDHD2
MIR9-1	MIR9-3	CNOT6L	CNOT6
MIR9-1	MIR9-3	STK3	STK4
MIR9-2	MIR9-3	FOXP2	FOXP4
MIR9-2	MIR9-3	SEC23IP	DDHD2
MIR9-2	MIR9-3	CNOT6L	CNOT6
MIR9-2	MIR9-3	STK3	STK4
MIR100	MIR99A	TRIB2	TRIB1
MIR100	MIR99B	TRIB1	TRIB2
MIR99A	MIR99B	INSR	IGF1R
MIR99A	MIR99B	TRIB1	TRIB2
MIRLET7A1	MIRLET7A3	IGF2BP1	IGF2BP2
MIRLET7A1	MIRLET7A3	IGF2BP1	IGF2BP3
MIRLET7A1	MIRLET7A3	UTRN	DMD
MIRLET7A1	MIRLET7A3	IGF2BP2	IGF2BP3
MIRLET7A1	MIRLET7F2	IGF2BP1	IGF2BP2
MIRLET7A1	MIRLET7F2	IGF2BP1	IGF2BP3
MIRLET7A1	MIRLET7F2	IGF2BP2	IGF2BP3
MIRLET7A3	MIRLET7F2	IGF2BP1	IGF2BP2
MIRLET7A3	MIRLET7F2	IGF2BP1	IGF2BP3
MIRLET7A3	MIRLET7F2	IGF2BP2	IGF2BP3
MIR98	MIRLET7B	IGF2BP1	IGF2BP2
MIR98	MIRLET7B	IGF2BP1	IGF2BP3
MIR98	MIRLET7B	UTRN	DMD
MIR98	MIRLET7B	IGF2BP2	IGF2BP3
MIR98	MIRLET7F1	IGF2BP1	IGF2BP2
MIR98	MIRLET7F1	IGF2BP1	IGF2BP3
MIR98	MIRLET7F1	IGF2BP2	IGF2BP3
MIRLET7B	MIRLET7F1	IGF2BP1	IGF2BP2
MIRLET7B	MIRLET7F1	IGF2BP1	IGF2BP3
MIRLET7B	MIRLET7F1	IGF2BP2	IGF2BP3
MIRLET7A2	MIRLET7C	IGF2BP1	IGF2BP2
MIRLET7A2	MIRLET7C	IGF2BP1	IGF2BP3
MIRLET7A2	MIRLET7C	UTRN	DMD
MIRLET7A2	MIRLET7C	LRIG1	LRIG3
MIRLET7A2	MIRLET7C	IGF2BP2	IGF2BP3
MIRLET7A2	MIRLET7E	IGF2BP1	IGF2BP2
MIRLET7A2	MIRLET7E	IGF2BP1	IGF2BP3
MIRLET7A2	MIRLET7E	UTRN	DMD
MIRLET7A2	MIRLET7E	IGF2BP2	IGF2BP3
MIRLET7C	MIRLET7E	IGF2BP1	IGF2BP2
MIRLET7C	MIRLET7E	IGF2BP1	IGF2BP3
MIRLET7C	MIRLET7E	UTRN	DMD
MIRLET7C	MIRLET7E	IGF2BP2	IGF2BP3
MIRLET7D	MIRLET7G	IGF2BP1	IGF2BP2
MIRLET7D	MIRLET7G	IGF2BP1	IGF2BP3
MIRLET7D	MIRLET7G	UTRN	DMD
