miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
gene_name_1	gene_name_2	not_in_G	not_in_G
MIR101-1	MIR101-2	SMARCA5	SMARCA1
MIR103A1	MIR103A2	CLOCK	NPAS2
MIR103A1	MIR107	CLOCK	NPAS2
MIR103A2	MIR107	CLOCK	NPAS2
MIR124-1	MIR124-3	AFF1	AFF4
MIR124-1	MIR124-3	GRIA2	GRIA3
MIR124-1	MIR124-3	KPNA3	KPNA4
MIR124-1	MIR124-3	GNAI2	GNAI1
MIR124-1	MIR124-3	PHF19	MTF2
MIR124-1	MIR124-3	OSBPL10	OSBPL11
MIR124-1	MIR124-2	AFF1	AFF4
MIR124-1	MIR124-2	GRIA2	GRIA3
MIR124-1	MIR124-2	KPNA3	KPNA4
MIR124-1	MIR124-2	GNAI2	GNAI1
MIR124-1	MIR124-2	PHF19	MTF2
MIR124-1	MIR124-2	OSBPL10	OSBPL11
MIR124-3	MIR124-2	AFF1	AFF4
MIR124-3	MIR124-2	GRIA2	GRIA3
MIR124-3	MIR124-2	KPNA3	KPNA4
MIR124-3	MIR124-2	GNAI2	GNAI1
MIR124-3	MIR124-2	PHF19	MTF2
MIR124-3	MIR124-2	OSBPL10	OSBPL11
MIR128-1	MIR128-2	KCNK2	KCNK10
MIR128-1	MIR128-2	SMAD3	SMAD2
MIR1-1	MIR1-2	YWHAQ	YWHAZ
MIR1-1	MIR1-2	SRSF9	SRSF1
MIR1-1	MIR206	YWHAQ	YWHAZ
MIR1-1	MIR206	SRSF9	SRSF1
MIR1-2	MIR206	YWHAQ	YWHAZ
MIR1-2	MIR206	SRSF9	SRSF1
MIR133A1	MIR133A2	TJP1	TJP2
MIR133A1	MIR133A2	PPP2CA	PPP2CB
MIR133A1	MIR133B	PPP2CB	PPP2CA
MIR133A2	MIR133B	PPP2CB	PPP2CA
MIR135A1	MIR135A2	SMAD5	SMAD2
MIR135A1	MIR135B	SMAD5	SMAD2
MIR135A2	MIR135B	SMAD5	SMAD2
MIR138-1	MIR138-2	TCF7L2	TCF7L1
MIR148A	MIR148B	FXR1	FMR1
MIR148A	MIR152	FXR1	FMR1
MIR148A	MIR152	NCOA1	NCOA2
MIR148B	MIR152	FXR1	FMR1
MIR15A	MIR497	ACVR2A	ACVR2B
MIR16-1	MIR16-2	ACVR2A	ACVR2B
MIR16-2	MIR195	BMI1	PCGF3
MIR16-2	MIR195	PHF19	MTF2
MIR181A1	MIR181A2	ACVR2A	ACVR2B
MIR181A1	MIR181C	ACVR2A	ACVR2B
MIR181A2	MIR181C	ACVR2A	ACVR2B
MIR181B1	MIR181B2	ACVR2A	ACVR2B
MIR181B1	MIR181D	ACVR2A	ACVR2B
MIR181B2	MIR181D	ACVR2A	ACVR2B
MIR190A	MIR190B	TCF7L2	TCF7L1
MIR196A1	MIR196A2	IGF2BP1	IGF2BP3
MIR196A1	MIR196B	IGF2BP1	IGF2BP3
MIR196A2	MIR196B	IGF2BP1	IGF2BP3
MIR199A1	MIR199A2	TAB3	TAB2
MIR199A1	MIR199A2	BTRC	FBXW11
MIR199A1	MIR199A2	ACVR2A	ACVR2B
MIR199A1	MIR199B	TAB3	TAB2
MIR199A1	MIR199B	BTRC	FBXW11
MIR199A1	MIR199B	ACVR2A	ACVR2B
MIR199A2	MIR199B	TAB3	TAB2
MIR199A2	MIR199B	BTRC	FBXW11
MIR199A2	MIR199B	ACVR2A	ACVR2B
MIR19B1	MIR19B2	BCL11B	BCL11A
MIR19B1	MIR19B2	ESR1	PGR
MIR19B1	MIR19B2	CLOCK	NPAS2
MIR200B	MIR200C	RANBP9	RANBP10
MIR192	MIR215	ACVR2A	ACVR2B
MIR24-1	MIR24-2	PDGFRB	PDGFRA
MIR24-1	MIR24-2	NRP1	NRP2
MIR24-1	MIR24-2	ELL2	ELL
MIR26A1	MIR26A2	TET2	TET3
MIR26A1	MIR26A2	KPNA3	KPNA4
MIR26A1	MIR26A2	FXR1	FMR1
MIR26A1	MIR26A2	ULK2	ULK1
MIR26A1	MIR26B	TET2	TET3
MIR26A1	MIR26B	ULK2	ULK1
MIR26A2	MIR26B	TET2	TET3
MIR26A2	MIR26B	ULK2	ULK1
MIR27A	MIR27B	YWHAQ	YWHAB
MIR29A	MIR29C	DNMT3A	DNMT3B
MIR29A	MIR29C	TET3	TET2
MIR29B1	MIR29B2	TET2	TET3
MIR29B1	MIR29B2	COL1A2	COL3A1
MIR29B1	MIR29B2	COL1A2	COL5A2
MIR30A	MIR30E	SOS1	SOS2
MIR30A	MIR30E	PRKAA1	PRKAA2
MIR30A	MIR30D	PRKAA1	PRKAA2
MIR30E	MIR30D	SOCS3	SOCS1
MIR30E	MIR30D	PRKAA1	PRKAA2
MIR33A	MIR33B	KPNA3	KPNA4
MIR25	MIR363	FMR1	FXR1
MIR25	MIR367	FXR1	FMR1
MIR363	MIR367	FXR1	FMR1
MIR365A	MIR365B	ADD3	ADD1
MIR7-1	MIR7-3	IRS1	IRS2
MIR7-1	MIR7-2	IRS1	IRS2
MIR7-1	MIR7-2	G3BP2	G3BP1
MIR7-1	MIR7-2	CNOT7	CNOT8
MIR7-3	MIR7-2	IRS1	IRS2
MIR9-1	MIR9-2	POU2F3	POU2F1
MIR9-1	MIR9-2	STK4	STK3
MIR9-1	MIR9-2	CNOT6L	CNOT6
MIR9-1	MIR9-3	POU2F3	POU2F1
MIR9-1	MIR9-3	STK4	STK3
MIR9-1	MIR9-3	CNOT6L	CNOT6
MIR9-2	MIR9-3	POU2F3	POU2F1
MIR9-2	MIR9-3	STK4	STK3
MIR9-2	MIR9-3	CNOT6L	CNOT6
MIR99A	MIR99B	IGF1R	INSR
MIR99A	MIR99B	SMAD5	SMAD2
MIRLET7A1	MIRLET7A3	COL1A2	COL3A1
MIRLET7A1	MIRLET7A3	IGF2BP1	IGF2BP3
MIRLET7A1	MIRLET7A3	UTRN	DMD
MIRLET7A1	MIRLET7F2	IGF2BP1	IGF2BP3
MIRLET7A3	MIRLET7F2	IGF2BP1	IGF2BP3
MIR98	MIRLET7B	IGF2BP1	IGF2BP3
MIR98	MIRLET7B	UTRN	DMD
MIR98	MIRLET7B	INTS6L	INTS6
MIR98	MIRLET7F1	IGF2BP1	IGF2BP3
MIR98	MIRLET7F1	CDK19	CDK8
MIRLET7B	MIRLET7F1	IGF2BP1	IGF2BP3
MIRLET7A2	MIRLET7C	COL1A2	COL3A1
MIRLET7A2	MIRLET7C	IGF2BP1	IGF2BP3
MIRLET7A2	MIRLET7C	UTRN	DMD
MIRLET7A2	MIRLET7E	IGF2BP1	IGF2BP3
MIRLET7A2	MIRLET7E	UTRN	DMD
MIRLET7C	MIRLET7E	IGF2BP1	IGF2BP3
MIRLET7C	MIRLET7E	UTRN	DMD
MIRLET7D	MIRLET7G	IGF2BP1	IGF2BP3
MIRLET7D	MIRLET7G	UTRN	DMD
MIRLET7D	MIRLET7I	IGF2BP1	IGF2BP3
MIRLET7D	MIRLET7I	UTRN	DMD
MIRLET7G	MIRLET7I	IGF2BP1	IGF2BP3
MIRLET7G	MIRLET7I	UTRN	DMD
