miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
gene_name_1	gene_name_2	not_in_G	not_in_G
MIR103A1	MIR103A2	CHD3	CHD4
MIR103A1	MIR103A2	SEC24C	SEC24D
MIR103A1	MIR103A2	AGO2	AGO1
MIR103A1	MIR103A2	PURB	PURA
MIR103A1	MIR103A2	TLE3	TLE2
MIR103A1	MIR103A2	BTBD2	BTBD1
MIR103A1	MIR103A2	ABL2	ABL1
MIR103A1	MIR103A2	PRKAR2A	PRKAR2B
MIR103A1	MIR103A2	APLP2	APP
MIR103A1	MIR103A2	PLOD3	PLOD1
MIR103A1	MIR103A2	LATS1	LATS2
MIR103A1	MIR103A2	RAB1B	RAB1A
MIR103A1	MIR103A2	ACTG1	ACTB
MIR103A1	MIR107	CHD3	CHD4
MIR103A1	MIR107	SEC24C	SEC24D
MIR103A1	MIR107	PURB	PURA
MIR103A1	MIR107	TLE3	TLE2
MIR103A1	MIR107	BTBD2	BTBD1
MIR103A1	MIR107	ABL2	ABL1
MIR103A1	MIR107	PRKAR2A	PRKAR2B
MIR103A1	MIR107	APLP2	APP
MIR103A1	MIR107	PLOD3	PLOD1
MIR103A1	MIR107	LATS1	LATS2
MIR103A1	MIR107	RAB1B	RAB1A
MIR103A1	MIR107	ACTG1	ACTB
MIR103A2	MIR107	CHD3	CHD4
MIR103A2	MIR107	SEC24C	SEC24D
MIR103A2	MIR107	PURB	PURA
MIR103A2	MIR107	TLE3	TLE2
MIR103A2	MIR107	BTBD2	BTBD1
MIR103A2	MIR107	ABL2	ABL1
MIR103A2	MIR107	PRKAR2A	PRKAR2B
MIR103A2	MIR107	APLP2	APP
MIR103A2	MIR107	PLOD3	PLOD1
MIR103A2	MIR107	LATS1	LATS2
MIR103A2	MIR107	RAB1B	RAB1A
MIR103A2	MIR107	ACTG1	ACTB
MIR106A	MIR106B	MOB1A	MOB1B
MIR106A	MIR17	MOB1A	MOB1B
MIR106A	MIR17	RHOC	RHOA
MIR106A	MIR17	NCOA3	NCOA1
MIR106B	MIR17	MOB1A	MOB1B
MIR124-1	MIR124-3	CDK6	CDK4
MIR124-1	MIR124-3	TUBB4B	TUBB
MIR124-1	MIR124-2	CDK6	CDK4
MIR124-1	MIR124-2	TUBB4B	TUBB
MIR124-3	MIR124-2	CDK6	CDK4
MIR124-3	MIR124-2	TUBB4B	TUBB
MIR128-1	MIR128-2	LMNB2	LMNB1
MIR133A1	MIR133A2	EIF4A2	EIF4A1
MIR148A	MIR148B	PAPSS1	PAPSS2
MIR148A	MIR152	PAPSS1	PAPSS2
MIR148A	MIR152	RC3H1	RC3H2
MIR148B	MIR152	PAPSS1	PAPSS2
MIR15A	MIR497	LATS2	LATS1
MIR16-1	MIR16-2	BRD3	BRD4
MIR16-1	MIR16-2	BRD3	BRD2
MIR16-1	MIR16-2	ABL2	ABL1
MIR16-1	MIR16-2	APLP2	APP
MIR16-1	MIR16-2	LATS1	LATS2
MIR16-1	MIR16-2	RAB1B	RAB1A
MIR16-1	MIR16-2	GNAI3	GNAI1
MIR16-1	MIR16-2	PLOD1	PLOD2
MIR16-1	MIR16-2	RBM23	RBM39
MIR16-1	MIR16-2	KDR	FLT1
MIR16-2	MIR195	VDAC1	VDAC3
MIR181A1	MIR181A2	STX12	STX7
MIR181A1	MIR181A2	G3BP1	G3BP2
MIR181A1	MIR181A2	RC3H1	RC3H2
MIR181A1	MIR181A2	NOTCH1	NOTCH2
MIR181A1	MIR181A2	HK1	HK2
MIR181A1	MIR181A2	ILF3	STRBP
MIR181A1	MIR181C	STX12	STX7
MIR181A1	MIR181C	G3BP1	G3BP2
MIR181A2	MIR181C	STX12	STX7
MIR181A2	MIR181C	G3BP1	G3BP2
MIR181B1	MIR181B2	G3BP1	G3BP2
MIR18A	MIR18B	YTHDF1	YTHDF3
MIR190A	MIR190B	not_in_G	not_in_G
MIR196A1	MIR196A2	MBNL3	MBNL1
MIR196A1	MIR196B	MBNL3	MBNL1
MIR196A2	MIR196B	MBNL3	MBNL1
MIR199A1	MIR199A2	G3BP1	G3BP2
MIR199A1	MIR199A2	PRKCA	PRKCB
MIR199A1	MIR199A2	APLP2	APP
MIR199A1	MIR199B	G3BP1	G3BP2
MIR199A1	MIR199B	PRKCA	PRKCB
MIR199A1	MIR199B	APLP2	APP
MIR199A2	MIR199B	G3BP1	G3BP2
MIR199A2	MIR199B	PRKCA	PRKCB
MIR199A2	MIR199B	APLP2	APP
MIR19B1	MIR19B2	MBNL3	MBNL1
MIR20A	MIR20B	MOB1A	MOB1B
MIR20A	MIR93	MOB1A	MOB1B
MIR20B	MIR93	MOB1A	MOB1B
MIR218-1	MIR218-2	GNAI3	GNAI2
MIR23A	MIR23B	CDC42BPB	CDC42BPA
MIR23A	MIR23B	HMGB1	HMGB2
MIR23A	MIR23B	TOP2A	TOP2B
MIR24-1	MIR24-2	ARID1A	ARID1B
MIR24-1	MIR24-2	FLNB	FLNC
MIR26A1	MIR26A2	DDX5	DDX17
MIR26A1	MIR26A2	CAPN1	CAPN2
MIR26A1	MIR26A2	SATB1	SATB2
MIR26A1	MIR26A2	TRIM24	TRIM33
MIR26A1	MIR26B	DDX5	DDX17
MIR26A1	MIR26B	TRIM24	TRIM33
MIR26A2	MIR26B	DDX5	DDX17
MIR26A2	MIR26B	TRIM24	TRIM33
MIR27A	MIR27B	HNRNPA2B1	HNRNPA1
MIR27A	MIR27B	YAP1	WWTR1
MIR29A	MIR29C	MORF4L1	MORF4L2
MIR29A	MIR29C	RELA	REL
MIR29B1	MIR29B2	SMARCA5	SMARCA1
MIR29B1	MIR29B2	E2F7	E2F8
MIR29B1	MIR29B2	MORF4L1	MORF4L2
MIR29B1	MIR29B2	RELA	REL
MIR301A	MIR301B	DDX5	DDX17
MIR301A	MIR301B	UBB	UBC
MIR30A	MIR30E	DDX5	DDX17
MIR30A	MIR30E	CDK4	CDK6
MIR30A	MIR30E	ATL2	ATL3
MIR30A	MIR30E	NOTCH1	NOTCH2
MIR30A	MIR30E	NFKB1	NFKB2
MIR30A	MIR30E	GNAI3	GNAI2
MIR30A	MIR30E	DPYSL2	CRMP1
MIR30A	MIR30E	PIP4K2B	PIP4K2A
MIR30A	MIR30D	DDX5	DDX17
MIR30A	MIR30D	DPYSL2	CRMP1
MIR30A	MIR30D	ATL2	ATL3
MIR30A	MIR30D	PIP4K2A	PIP4K2B
MIR30E	MIR30D	DDX5	DDX17
MIR30E	MIR30D	DPYSL2	CRMP1
MIR30E	MIR30D	ATL2	ATL3
MIR30E	MIR30D	PIP4K2A	PIP4K2B
MIR30B	MIR30C1	RRM2	RRM2B
MIR30B	MIR30C2	RRM2	RRM2B
MIR30C1	MIR30C2	RRM2	RRM2B
MIR33A	MIR33B	PURB	PURA
MIR7-1	MIR7-2	G3BP1	G3BP2
