miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
gene_name_1	gene_name_2	not_in_G	not_in_G
MIR103A1	MIR103A2	ACTB	ACTG1
MIR103A1	MIR103A2	PLOD3	PLOD1
MIR103A1	MIR103A2	RAB1B	RAB1A
MIR103A1	MIR103A2	ORAI1	ORAI2
MIR103A1	MIR103A2	SNX5	SNX6
MIR103A1	MIR103A2	SEC24C	SEC24D
MIR103A1	MIR103A2	CHD3	CHD4
MIR103A1	MIR103A2	ABL2	ABL1
MIR103A1	MIR103A2	AGO1	AGO2
MIR103A1	MIR103A2	PRKAR2A	PRKAR2B
MIR103A1	MIR103A2	LATS2	LATS1
MIR103A1	MIR107	ACTB	ACTG1
MIR103A1	MIR107	PLOD3	PLOD1
MIR103A1	MIR107	RAB1B	RAB1A
MIR103A1	MIR107	ORAI1	ORAI2
MIR103A1	MIR107	SNX5	SNX6
MIR103A1	MIR107	SEC24C	SEC24D
MIR103A1	MIR107	CHD3	CHD4
MIR103A1	MIR107	ABL2	ABL1
MIR103A1	MIR107	PRKAR2A	PRKAR2B
MIR103A1	MIR107	LATS2	LATS1
MIR103A2	MIR107	ACTB	ACTG1
MIR103A2	MIR107	PLOD3	PLOD1
MIR103A2	MIR107	RAB1B	RAB1A
MIR103A2	MIR107	ORAI1	ORAI2
MIR103A2	MIR107	SNX5	SNX6
MIR103A2	MIR107	SEC24C	SEC24D
MIR103A2	MIR107	CHD3	CHD4
MIR103A2	MIR107	ABL2	ABL1
MIR103A2	MIR107	PRKAR2A	PRKAR2B
MIR103A2	MIR107	LATS2	LATS1
MIR106A	MIR106B	MOB1B	MOB1A
MIR106A	MIR17	NCOA1	NCOA3
MIR106A	MIR17	SMAD3	SMAD5
MIR106A	MIR17	MOB1B	MOB1A
MIR106B	MIR17	MOB1B	MOB1A
MIR124-1	MIR124-3	CDK6	CDK4
MIR124-1	MIR124-3	TUBB4B	TUBB
MIR124-1	MIR124-2	CDK6	CDK4
MIR124-1	MIR124-2	TUBB4B	TUBB
MIR124-3	MIR124-2	CDK6	CDK4
MIR124-3	MIR124-2	TUBB4B	TUBB
MIR125A	MIR125B1	YTHDF2	YTHDF3
MIR125A	MIR125B1	TET3	TET2
MIR125A	MIR125B2	YTHDF2	YTHDF3
MIR125A	MIR125B2	TET3	TET2
MIR125B1	MIR125B2	YTHDF2	YTHDF3
MIR125B1	MIR125B2	TET3	TET2
MIR128-1	MIR128-2	LMNB1	LMNB2
MIR133A1	MIR133A2	EIF4A2	EIF4A1
MIR146A	MIR146B	YTHDF2	YTHDF3
MIR15A	MIR497	LATS1	LATS2
MIR424	MIR497	PHC2	PHC3
MIR16-1	MIR16-2	RAB1B	RAB1A
MIR16-1	MIR16-2	KDR	FLT1
MIR16-1	MIR16-2	GNAI1	GNAI3
MIR16-1	MIR16-2	ABL2	ABL1
MIR16-1	MIR16-2	BRD3	BRD4
MIR16-1	MIR16-2	BRD3	BRD2
MIR16-1	MIR16-2	PLOD2	PLOD1
MIR16-1	MIR16-2	LATS2	LATS1
MIR16-1	MIR16-2	GNA13	GNA12
MIR16-2	MIR195	VDAC1	VDAC3
MIR181A1	MIR181A2	HK1	HK2
MIR181A1	MIR181A2	G3BP2	G3BP1
MIR181A1	MIR181A2	FOSL2	FOS
MIR181A1	MIR181C	G3BP2	G3BP1
MIR181A2	MIR181C	G3BP2	G3BP1
MIR181B1	MIR181B2	FOSL2	FOS
MIR181B1	MIR181B2	G3BP2	G3BP1
MIR181B1	MIR181D	FOSL2	FOS
MIR181B2	MIR181D	FOSL2	FOS
MIR18A	MIR18B	PHC3	PHC2
MIR18A	MIR18B	LMNB2	LMNA
MIR190A	MIR190B	not_in_G	not_in_G
MIR199A1	MIR199A2	G3BP2	G3BP1
MIR199A1	MIR199A2	PRKCB	PRKCA
MIR199A1	MIR199B	G3BP2	G3BP1
MIR199A1	MIR199B	PRKCB	PRKCA
MIR199A2	MIR199B	G3BP2	G3BP1
MIR199A2	MIR199B	PRKCB	PRKCA
