miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR101-1	MIR101-2	ZEB2	ZEB1
MIR103A1	MIR103A2	MYBL1	MYB
MIR103A1	MIR107	MYBL1	MYB
MIR103A2	MIR107	MYBL1	MYB
MIR106A	MIR106B	NR4A3	NR4A2
MIR106A	MIR17	NR4A3	NR4A2
MIR106B	MIR17	NR4A3	NR4A2
MIR10A	MIR10B	HOXB3	HOXA3
MIR124-1	MIR124-3	HIVEP2	HIVEP1
MIR124-1	MIR124-2	HIVEP2	HIVEP1
MIR124-3	MIR124-2	HIVEP2	HIVEP1
MIR125A	MIR125B1	LIN28A	LIN28B
MIR125A	MIR125B2	LIN28A	LIN28B
MIR125B1	MIR125B2	LIN28A	LIN28B
MIR128-1	MIR128-2	NFIX	NFIC
MIR129-1	MIR129-2	SP4	SP3
MIR129-1	MIR129-2	ETV1	ETV5
MIR129-1	MIR129-2	RUNX2	RUNX1
MIR129-1	MIR129-2	ISL1	LHX2
MIR133A1	MIR133A2	FOXP4	FOXP2
MIR135A1	MIR135A2	MEF2A	MEF2C
MIR135A1	MIR135A2	FOXN3	FOXN2
MIR135A1	MIR135B	MEF2A	MEF2C
MIR135A1	MIR135B	FOXN3	FOXN2
MIR135A2	MIR135B	MEF2A	MEF2C
MIR135A2	MIR135B	FOXN3	FOXN2
MIR138-1	MIR138-2	TCF7L1	TCF7L2
MIR138-1	MIR138-2	NFIX	NFIB
MIR148A	MIR148B	ESR1	ESRRG
MIR148A	MIR148B	MAFB	MAF
MIR148A	MIR152	ESR1	ESRRG
MIR148B	MIR152	ESR1	ESRRG
MIR153-1	MIR153-2	NEUROD1	NEUROD6
MIR153-1	MIR153-2	NFIB	NFIA
MIR16-2	MIR195	TSHZ1	TSHZ3
MIR181A1	MIR181A2	HOXD1	HOXA1
MIR181A1	MIR181C	HOXD1	HOXA1
MIR181A2	MIR181C	HOXD1	HOXA1
MIR190A	MIR190B	MEF2A	MEF2C
MIR190A	MIR190B	TCF7L1	TCF7L2
MIR194-1	MIR194-2	ZFHX3	ZFHX4
MIR196A1	MIR196A2	HOXB7	HOXA7
MIR196A1	MIR196A2	HOXA7	HOXC8
MIR196A1	MIR196A2	PBX3	PBX1
MIR196A1	MIR196A2	LCORL	LCOR
MIR196A1	MIR196A2	HOXB6	HOXA5
