miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR103A1	MIR103A2	NFIA	NFIX
MIR103A1	MIR103A2	ELK3	ELK4
MIR103A1	MIR103A2	KLF6	KLF7
MIR103A1	MIR107	NFIA	NFIX
MIR103A1	MIR107	ELK3	ELK4
MIR103A1	MIR107	KLF6	KLF7
MIR103A2	MIR107	NFIA	NFIX
MIR103A2	MIR107	ELK3	ELK4
MIR103A2	MIR107	KLF6	KLF7
MIR106A	MIR17	SMAD3	SMAD5
MIR106A	MIR17	NFIC	NFIB
MIR181A1	MIR181A2	FOS	FOSL2
MIR181B1	MIR181B2	FOS	FOSL2
MIR181B1	MIR181D	FOS	FOSL2
MIR181B2	MIR181D	FOS	FOSL2
MIR196A1	MIR196A2	HOXB8	HOXC8
MIR196A1	MIR196B	HOXB8	HOXC8
MIR196A2	MIR196B	HOXB8	HOXC8
MIR23A	MIR23B	EPAS1	HIF1A
MIR23A	MIR23B	MEIS2	MEIS1
MIR24-1	MIR24-2	NFATC2	NFATC3
MIR24-1	MIR24-2	SOX7	SOX18
MIR24-1	MIR24-2	HIVEP2	HIVEP1
MIR26A1	MIR26A2	SATB1	SATB2
MIR29A	MIR29C	REL	RELA
MIR29B1	MIR29B2	REL	RELA
MIR29B1	MIR29B2	E2F8	E2F7
MIR30A	MIR30E	NFKB2	NFKB1
MIR7-1	MIR7-3	NFIA	NFIC
MIR7-1	MIR7-2	NFIA	NFIC
MIR7-3	MIR7-2	NFIA	NFIC
MIR92A1	MIR92A2	ZNF503	ZNF703
MIR9-1	MIR9-2	EPAS1	HIF1A
MIR9-1	MIR9-3	EPAS1	HIF1A
MIR9-2	MIR9-3	EPAS1	HIF1A
MIRLET7A1	MIRLET7A3	KLF6	KLF7
MIRLET7A1	MIRLET7A3	ZFHX4	ZFHX3
MIRLET7A1	MIRLET7F2	ZFHX4	ZFHX3
MIRLET7A3	MIRLET7F2	ZFHX4	ZFHX3
MIR98	MIRLET7F1	ZFHX4	ZFHX3
MIRLET7G	MIRLET7I	ZFHX4	ZFHX3
