miRNA_1	miRNA_2	target
gene_name_1	gene_name_2	not_in_G
MIR101-1	MIR101-2	FZD4
MIR101-1	MIR101-2	TSHZ3
MIR101-1	MIR101-2	SLC1A1
MIR101-1	MIR101-2	MBNL1
MIR101-1	MIR101-2	TULP4
MIR101-1	MIR101-2	NDFIP1
MIR101-1	MIR101-2	ADAMTS17
MIR101-1	MIR101-2	STAG2
MIR101-1	MIR101-2	RAB5A
MIR101-1	MIR101-2	DDX3X
MIR101-1	MIR101-2	DCBLD2
MIR101-1	MIR101-2	MED13
MIR101-1	MIR101-2	EZH2
MIR101-1	MIR101-2	ZNF532
MIR101-1	MIR101-2	SUB1
MIR101-1	MIR101-2	ATP1B1
MIR101-1	MIR101-2	ERBIN
MIR101-1	MIR101-2	NEK7
MIR101-1	MIR101-2	MPPE1
MIR101-1	MIR101-2	KBTBD8
MIR101-1	MIR101-2	CREBRF
MIR101-1	MIR101-2	CILK1
MIR101-1	MIR101-2	FLRT3
MIR101-1	MIR101-2	ANKRD11
MIR101-1	MIR101-2	PRKCE
MIR101-1	MIR101-2	ASAP1
MIR101-1	MIR101-2	PBX3
MIR101-1	MIR101-2	ZEB2
MIR101-1	MIR101-2	PRPF4B
MIR101-1	MIR101-2	CDYL
MIR101-1	MIR101-2	PPFIA1
MIR101-1	MIR101-2	ADRB1
MIR101-1	MIR101-2	KIF2A
MIR101-1	MIR101-2	HAS2
MIR101-1	MIR101-2	TNRC6B
MIR101-1	MIR101-2	IKZF2
MIR101-1	MIR101-2	RORA
MIR101-1	MIR101-2	SGK1
MIR101-1	MIR101-2	FBN2
MIR101-1	MIR101-2	ZNF207
MIR101-1	MIR101-2	MOB4
MIR101-1	MIR101-2	ARID5B
MIR101-1	MIR101-2	ASPN
MIR101-1	MIR101-2	MAP3K2
MIR101-1	MIR101-2	TMEM65
MIR101-1	MIR101-2	CEP350
MIR101-1	MIR101-2	PRRC2C
MIR101-1	MIR101-2	RIN2
MIR101-1	MIR101-2	ZEB1
MIR101-1	MIR101-2	DIP2B
MIR101-1	MIR101-2	ZSWIM6
MIR101-1	MIR101-2	EXOC5
MIR101-1	MIR101-2	BICD2
MIR101-1	MIR101-2	TNPO1
MIR101-1	MIR101-2	TET2
MIR101-1	MIR101-2	SCN2A
MIR101-1	MIR101-2	APP
MIR101-1	MIR101-2	GLCCI1
MIR101-1	MIR101-2	EDEM3
MIR101-1	MIR101-2	SOCS5
MIR101-1	MIR101-2	EYA1
MIR101-1	MIR101-2	OTUD3
MIR101-1	MIR101-2	PURB
MIR101-1	MIR101-2	COL10A1
MIR101-1	MIR101-2	ZFP36L2
MIR101-1	MIR101-2	ZFAND3
MIR101-1	MIR101-2	ARID1A
MIR101-1	MIR101-2	ZNF746
MIR101-1	MIR101-2	MITF
MIR101-1	MIR101-2	NAA15
MIR101-1	MIR101-2	ZNF618
MIR101-1	MIR101-2	CDK8
MIR101-1	MIR101-2	SMARCA5
MIR101-1	MIR101-2	CLCN3
MIR101-1	MIR101-2	PHLDA1
MIR101-1	MIR101-2	DLG5
MIR101-1	MIR101-2	DIPK2A
MIR101-1	MIR101-2	CUL3
MIR101-1	MIR101-2	FEM1C
MIR101-1	MIR101-2	FBXW11
MIR101-1	MIR101-2	INO80D
MIR101-1	MIR101-2	HEG1
MIR101-1	MIR101-2	RANBP9
MIR101-1	MIR101-2	FOS
MIR101-1	MIR101-2	MYCN
MIR101-1	MIR101-2	TNKS2
MIR101-1	MIR101-2	SEL1L
MIR101-1	MIR101-2	MYRIP
MIR101-1	MIR101-2	TCF7L2
MIR101-1	MIR101-2	PDS5B
MIR101-1	MIR101-2	BCL9
MIR101-1	MIR101-2	STC1
MIR101-1	MIR101-2	CNKSR3
MIR101-1	MIR101-2	ABHD17C
MIR101-1	MIR101-2	ATXN1
MIR101-1	MIR101-2	RAP1B
MIR101-1	MIR101-2	ARHGEF3
MIR101-1	MIR101-2	AEBP2
MIR101-1	MIR101-2	MGAT4A
MIR101-1	MIR101-2	PDE4D
MIR101-1	MIR101-2	UBN2
MIR101-1	MIR101-2	SLC12A2
MIR101-1	MIR101-2	TGFBR1
MIR101-1	MIR101-2	CAMTA1
MIR101-1	MIR101-2	PTGS2
MIR101-1	MIR101-2	FAM214A
MIR101-1	MIR101-2	NSD1
MIR101-1	MIR101-2	LRCH2
MIR101-1	MIR101-2	ACVR2B
MIR101-1	MIR101-2	PAPOLG
MIR101-1	MIR101-2	EMP1
MIR101-1	MIR101-2	KLF3
MIR101-1	MIR101-2	ZBTB41
MIR101-1	MIR101-2	UBE2D2
MIR101-1	MIR101-2	CACNB2
MIR101-1	MIR101-2	AP1G1
MIR101-1	MIR101-2	ZBTB34
MIR101-1	MIR101-2	CERS2
MIR101-1	MIR101-2	GAB1
MIR101-1	MIR101-2	RAP2C
MIR101-1	MIR101-2	PTCH1
MIR101-1	MIR101-2	RAB1A
MIR101-1	MIR101-2	HNRNPF
MIR101-1	MIR101-2	CCNT2
MIR101-1	MIR101-2	PRKAA1
MIR101-1	MIR101-2	SLC39A10
MIR101-1	MIR101-2	G3BP2
MIR101-1	MIR101-2	HTRA3
MIR101-1	MIR101-2	BICRA
MIR101-1	MIR101-2	KIF3A
MIR101-1	MIR101-2	ASCC3
MIR101-1	MIR101-2	LCOR
MIR101-1	MIR101-2	PANK3
MIR101-1	MIR101-2	ZCCHC2
MIR101-1	MIR101-2	SLC30A7
