miRNA_1	miRNA_2	target
gene_name_1	gene_name_2	not_in_G
MIR101-1	MIR101-2	SERINC1
MIR101-1	MIR101-2	MEF2A
MIR101-1	MIR101-2	CSRP2
MIR101-1	MIR101-2	RNF216
MIR101-1	MIR101-2	ATP5A1
MIR101-1	MIR101-2	OTUD4
MIR101-1	MIR101-2	CHEK1
MIR101-1	MIR101-2	AKAP11
MIR101-1	MIR101-2	CPEB2
MIR101-1	MIR101-2	AP1G1
MIR101-1	MIR101-2	TXNDC16
MIR101-1	MIR101-2	ARNTL2
MIR101-1	MIR101-2	OPN3
MIR101-1	MIR101-2	PIP5K1C
MIR101-1	MIR101-2	LMNB1
MIR101-1	MIR101-2	RPRD1A
MIR101-1	MIR101-2	FAM78A
MIR101-1	MIR101-2	PRDM2
MIR101-1	MIR101-2	TRIAP1
MIR101-1	MIR101-2	KIF5B
MIR101-1	MIR101-2	MYO5A
MIR101-1	MIR101-2	SKP2
MIR101-1	MIR101-2	STAMBP
MIR101-1	MIR101-2	APP
MIR101-1	MIR101-2	RNF219
MIR101-1	MIR101-2	SNX31
MIR101-1	MIR101-2	CD38
MIR101-1	MIR101-2	SPPL2A
MIR101-1	MIR101-2	EDEM3
MIR101-1	MIR101-2	NEK7
MIR101-1	MIR101-2	KL
MIR101-1	MIR101-2	C21orf91
MIR101-1	MIR101-2	EIF5
MIR101-1	MIR101-2	BICC1
MIR101-1	MIR101-2	NHLRC2
MIR101-1	MIR101-2	PIK3C2B
MIR101-1	MIR101-2	ITGB8
MIR101-1	MIR101-2	MAPK6
MIR101-1	MIR101-2	MCL1
MIR101-1	MIR101-2	MOB1B
MIR101-1	MIR101-2	PGM2
MIR101-1	MIR101-2	RAB8B
MIR101-1	MIR101-2	ZNF800
MIR101-1	MIR101-2	SAMD8
MIR101-1	MIR101-2	CD81
MIR101-1	MIR101-2	PNLIPRP2
MIR101-1	MIR101-2	TSPYL1
MIR101-1	MIR101-2	TMEM65
MIR101-1	MIR101-2	REV3L
MIR101-1	MIR101-2	SLC38A2
MIR101-1	MIR101-2	HEG1
MIR101-1	MIR101-2	AGO4
MIR101-1	MIR101-2	ZNF746
MIR101-1	MIR101-2	ZNF850
MIR101-1	MIR101-2	MTMR4
MIR101-1	MIR101-2	FBXW7
MIR101-1	MIR101-2	TFB2M
MIR101-1	MIR101-2	ATP6V1A
MIR101-1	MIR101-2	CD44
MIR101-1	MIR101-2	ZNF207
MIR101-1	MIR101-2	PMF1
MIR101-1	MIR101-2	SLC1A1
